,id,title,authors,citation,first_author,journal_book,publication_year,create_date,pmcid,nihms_id,doi
0,34968557,Active inference leads to Bayesian neurophysiology,Isomura T.,Neurosci Res. 2022 Feb;175:38-45. doi: 10.1016/j.neures.2021.12.003. Epub 2021 Dec 27.,Isomura T,Neurosci Res,2022,2021/12/30,,,10.1016/j.neures.2021.12.003
11,34652601,An active inference account of protective behaviours during the COVID-19 pandemic,"Bottemanne H, Friston KJ.",Cogn Affect Behav Neurosci. 2021 Dec;21(6):1117-1129. doi: 10.3758/s13415-021-00947-0. Epub 2021 Oct 15.,Bottemanne H,Cogn Affect Behav Neurosci,2021,2021/10/15,PMC8518276,,10.3758/s13415-021-00947-0
12,33400903,Active Inference: Demystified and Compared,"Sajid N, Ball PJ, Parr T, Friston KJ.",Neural Comput. 2021 Mar;33(3):674-712. doi: 10.1162/neco_a_01357. Epub 2021 Jan 5.,Sajid N,Neural Comput,2021,2021/01/05,,,10.1162/neco_a_01357
13,36507307,"Active inference, morphogenesis, and computational psychiatry","Pio-Lopez L, Kuchling F, Tung A, Pezzulo G, Levin M.",Front Comput Neurosci. 2022 Nov 24;16:988977. doi: 10.3389/fncom.2022.988977. eCollection 2022.,Pio-Lopez L,Front Comput Neurosci,2022,2022/12/12,PMC9731232,,10.3389/fncom.2022.988977
14,31067416,An Active Inference Approach to Interoceptive Psychopathology,"Paulus MP, Feinstein JS, Khalsa SS.",Annu Rev Clin Psychol. 2019 May 7;15:97-122. doi: 10.1146/annurev-clinpsy-050718-095617.,Paulus MP,Annu Rev Clin Psychol,2019,2019/05/09,PMC7280559,NIHMS1595626,10.1146/annurev-clinpsy-050718-095617
15,36271279,Active inference and the two-step task,"Gijsen S, Grundei M, Blankenburg F.",Sci Rep. 2022 Oct 21;12(1):17682. doi: 10.1038/s41598-022-21766-4.,Gijsen S,Sci Rep,2022,2022/10/22,PMC9586964,,10.1038/s41598-022-21766-4
16,23744445,"Active inference, sensory attenuation and illusions","Brown H, Adams RA, Parees I, Edwards M, Friston K.",Cogn Process. 2013 Nov;14(4):411-27. doi: 10.1007/s10339-013-0571-3. Epub 2013 Jun 7.,Brown H,Cogn Process,2013,2013/06/08,PMC3824582,,10.1007/s10339-013-0571-3
17,29475638,Hierarchical Active Inference: A Theory of Motivated Control,"Pezzulo G, Rigoli F, Friston KJ.",Trends Cogn Sci. 2018 Apr;22(4):294-306. doi: 10.1016/j.tics.2018.01.009. Epub 2018 Feb 20.,Pezzulo G,Trends Cogn Sci,2018,2018/02/25,PMC5870049,,10.1016/j.tics.2018.01.009
18,36389542,Editorial: Enactivism and active inference in the therapeutic alliance,"Duquette P, Cerritelli F, Esteves JE.",Front Psychol. 2022 Oct 26;13:1042698. doi: 10.3389/fpsyg.2022.1042698. eCollection 2022.,Duquette P,Front Psychol,2022,2022/11/17,PMC9645110,,10.3389/fpsyg.2022.1042698
19,27798257,The theory of constructed emotion: an active inference account of interoception and categorization,Barrett LF.,Soc Cogn Affect Neurosci. 2017 Jan 1;12(1):1-23. doi: 10.1093/scan/nsw154.,Barrett LF,Soc Cogn Affect Neurosci,2017,2016/11/01,PMC5390700,,10.1093/scan/nsw154
20,32687883,"Generative models, linguistic communication and active inference","Friston KJ, Parr T, Yufik Y, Sajid N, Price CJ, Holmes E.",Neurosci Biobehav Rev. 2020 Nov;118:42-64. doi: 10.1016/j.neubiorev.2020.07.005. Epub 2020 Jul 17.,Friston KJ,Neurosci Biobehav Rev,2020,2020/07/21,PMC7758713,,10.1016/j.neubiorev.2020.07.005
21,35503403,An Active Inference Account of Skilled Anticipation in Sport: Using Computational Models to Formalise Theory and Generate New Hypotheses,"Harris DJ, Arthur T, Broadbent DP, Wilson MR, Vine SJ, Runswick OR.",Sports Med. 2022 Sep;52(9):2023-2038. doi: 10.1007/s40279-022-01689-w. Epub 2022 May 3.,Harris DJ,Sports Med,2022,2022/05/03,PMC9388417,,10.1007/s40279-022-01689-w
22,35455140,Epistemic Communities under Active Inference,"Albarracin M, Demekas D, Ramstead MJD, Heins C.",Entropy (Basel). 2022 Mar 29;24(4):476. doi: 10.3390/e24040476.,Albarracin M,Entropy (Basel),2022,2022/04/23,PMC9027706,,10.3390/e24040476
23,34484808,"Consciousness in active inference: Deep self-models, other minds, and the challenge of psychedelic-induced ego-dissolution",Deane G.,Neurosci Conscious. 2021 Sep 1;2021(2):niab024. doi: 10.1093/nc/niab024. eCollection 2021.,Deane G,Neurosci Conscious,2021,2021/09/06,PMC8408766,,10.1093/nc/niab024
24,28416414,Deep temporal models and active inference,"Friston KJ, Rosch R, Parr T, Price C, Bowman H.",Neurosci Biobehav Rev. 2017 Jun;77:388-402. doi: 10.1016/j.neubiorev.2017.04.009. Epub 2017 Apr 14.,Friston KJ,Neurosci Biobehav Rev,2017,2017/04/19,PMC5461873,,10.1016/j.neubiorev.2017.04.009
25,35327872,How Active Inference Could Help Revolutionise Robotics,"Da Costa L, Lanillos P, Sajid N, Friston K, Khan S.",Entropy (Basel). 2022 Mar 2;24(3):361. doi: 10.3390/e24030361.,Da Costa L,Entropy (Basel),2022,2022/03/25,PMC8946999,,10.3390/e24030361
26,36116573,Oversampled and undersolved: Depressive rumination from an active inference perspective,"Berg M, Feldmann M, Kirchner L, Kube T.",Neurosci Biobehav Rev. 2022 Nov;142:104873. doi: 10.1016/j.neubiorev.2022.104873. Epub 2022 Sep 15.,Berg M,Neurosci Biobehav Rev,2022,2022/09/18,,,10.1016/j.neubiorev.2022.104873
27,35875359,Extended active inference: Constructing predictive cognition beyond skulls,"Constant A, Clark A, Kirchhoff M, Friston KJ.",Mind Lang. 2022 Jun;37(3):373-394. doi: 10.1111/mila.12330. Epub 2020 Dec 2.,Constant A,Mind Lang,2022,2022/07/25,PMC9292365,,10.1111/mila.12330
28,35774133,An insula hierarchical network architecture for active interoceptive inference,"Fermin ASR, Friston K, Yamawaki S.",R Soc Open Sci. 2022 Jun 29;9(6):220226. doi: 10.1098/rsos.220226. eCollection 2022 Jun.,Fermin ASR,R Soc Open Sci,2022,2022/07/01,PMC9240682,,10.1098/rsos.220226
29,36027722,Branching Time Active Inference with Bayesian Filtering,"Champion T, Grześ M, Bowman H.",Neural Comput. 2022 Sep 12;34(10):2132-2144. doi: 10.1162/neco_a_01529.,Champion T,Neural Comput,2022,2022/08/26,,,10.1162/neco_a_01529
30,35462780,Active Inference and Epistemic Value in Graphical Models,"van de Laar T, Koudahl M, van Erp B, de Vries B.",Front Robot AI. 2022 Apr 6;9:794464. doi: 10.3389/frobt.2022.794464. eCollection 2022.,van de Laar T,Front Robot AI,2022,2022/04/25,PMC9019474,,10.3389/frobt.2022.794464
31,33733195,Deep Active Inference and Scene Construction,"Heins RC, Mirza MB, Parr T, Friston K, Kagan I, Pooresmaeili A.",Front Artif Intell. 2020 Oct 28;3:509354. doi: 10.3389/frai.2020.509354. eCollection 2020.,Heins RC,Front Artif Intell,2020,2021/03/18,PMC7861336,,10.3389/frai.2020.509354
32,37080424,Cognitive effort and active inference,"Parr T, Holmes E, Friston KJ, Pezzulo G.",Neuropsychologia. 2023 Jun 6;184:108562. doi: 10.1016/j.neuropsychologia.2023.108562. Epub 2023 Apr 18.,Parr T,Neuropsychologia,2023,2023/04/20,,,10.1016/j.neuropsychologia.2023.108562
33,36035589,Inference of affordances and active motor control in simulated agents,"Scholz F, Gumbsch C, Otte S, Butz MV.",Front Neurorobot. 2022 Aug 11;16:881673. doi: 10.3389/fnbot.2022.881673. eCollection 2022.,Scholz F,Front Neurorobot,2022,2022/08/29,PMC9405427,,10.3389/fnbot.2022.881673
34,34803619,"Understanding, Explanation, and Active Inference","Parr T, Pezzulo G.",Front Syst Neurosci. 2021 Nov 5;15:772641. doi: 10.3389/fnsys.2021.772641. eCollection 2021.,Parr T,Front Syst Neurosci,2021,2021/11/22,PMC8602880,,10.3389/fnsys.2021.772641
35,30350226,Deep active inference,Ueltzhöffer K.,Biol Cybern. 2018 Dec;112(6):547-573. doi: 10.1007/s00422-018-0785-7. Epub 2018 Oct 22.,Ueltzhöffer K,Biol Cybern,2018,2018/10/24,,,10.1007/s00422-018-0785-7
36,35031656,Canonical neural networks perform active inference,"Isomura T, Shimazaki H, Friston KJ.",Commun Biol. 2022 Jan 14;5(1):55. doi: 10.1038/s42003-021-02994-2.,Isomura T,Commun Biol,2022,2022/01/15,PMC8760273,,10.1038/s42003-021-02994-2
37,37565656,An Active-Inference Approach to Second-Person Neuroscience,"Lehmann K, Bolis D, Friston KJ, Schilbach L, Ramstead MJD, Kanske P.",Perspect Psychol Sci. 2023 Aug 11:17456916231188000. doi: 10.1177/17456916231188000. Online ahead of print.,Lehmann K,Perspect Psychol Sci,2023,2023/08/11,,,10.1177/17456916231188000
38,35183594,Stress and its sequelae: An active inference account of the etiological pathway from allostatic overload to depression,"Arnaldo I, Corcoran AW, Friston KJ, Ramstead MJD.",Neurosci Biobehav Rev. 2022 Apr;135:104590. doi: 10.1016/j.neubiorev.2022.104590. Epub 2022 Feb 18.,Arnaldo I,Neurosci Biobehav Rev,2022,2022/02/20,,,10.1016/j.neubiorev.2022.104590
39,34376705,Contextual perception under active inference,"Mirza MB, Cullen M, Parr T, Shergill S, Moran RJ.",Sci Rep. 2021 Aug 10;11(1):16223. doi: 10.1038/s41598-021-95510-9.,Mirza MB,Sci Rep,2021,2021/08/11,PMC8355338,,10.1038/s41598-021-95510-9
40,34248515,Active Inferants: An Active Inference Framework for Ant Colony Behavior,"Friedman DA, Tschantz A, Ramstead MJD, Friston K, Constant A.",Front Behav Neurosci. 2021 Jun 24;15:647732. doi: 10.3389/fnbeh.2021.647732. eCollection 2021.,Friedman DA,Front Behav Neurosci,2021,2021/07/12,PMC8264549,,10.3389/fnbeh.2021.647732
41,31298270,Prefrontal Computation as Active Inference,"Parr T, Rikhye RV, Halassa MM, Friston KJ.",Cereb Cortex. 2020 Mar 21;30(2):682-695. doi: 10.1093/cercor/bhz118.,Parr T,Cereb Cortex,2020,2019/07/13,PMC7444741,,10.1093/cercor/bhz118
42,35714105,Active inference unifies intentional and conflict-resolution imperatives of motor control,"Maselli A, Lanillos P, Pezzulo G.",PLoS Comput Biol. 2022 Jun 17;18(6):e1010095. doi: 10.1371/journal.pcbi.1010095. eCollection 2022 Jun.,Maselli A,PLoS Comput Biol,2022,2022/06/17,PMC9205531,,10.1371/journal.pcbi.1010095
43,35572328,Enactive-Dynamic Social Cognition and Active Inference,"Hipólito I, van Es T.",Front Psychol. 2022 Apr 29;13:855074. doi: 10.3389/fpsyg.2022.855074. eCollection 2022.,Hipólito I,Front Psychol,2022,2022/05/16,PMC9102990,,10.3389/fpsyg.2022.855074
44,33626312,Sophisticated Inference,"Friston K, Da Costa L, Hafner D, Hesp C, Parr T.",Neural Comput. 2021 Mar;33(3):713-763. doi: 10.1162/neco_a_01351.,Friston K,Neural Comput,2021,2021/02/24,,,10.1162/neco_a_01351
45,37021085,Flexible intentions: An Active Inference theory,"Priorelli M, Stoianov IP.",Front Comput Neurosci. 2023 Mar 20;17:1128694. doi: 10.3389/fncom.2023.1128694. eCollection 2023.,Priorelli M,Front Comput Neurosci,2023,2023/04/06,PMC10067605,,10.3389/fncom.2023.1128694
46,36944240,Reward Maximization Through Discrete Active Inference,"Da Costa L, Sajid N, Parr T, Friston K, Smith R.",Neural Comput. 2023 Apr 18;35(5):807-852. doi: 10.1162/neco_a_01574.,Da Costa L,Neural Comput,2023,2023/03/21,,,10.1162/neco_a_01574
47,35468491,Branching Time Active Inference: The theory and its generality,"Champion T, Da Costa L, Bowman H, Grześ M.",Neural Netw. 2022 Jul;151:295-316. doi: 10.1016/j.neunet.2022.03.036. Epub 2022 Apr 6.,Champion T,Neural Netw,2022,2022/04/25,,,10.1016/j.neunet.2022.03.036
48,36684841,The Active Inference Model of Coherence Therapy,Chamberlin DE.,Front Hum Neurosci. 2023 Jan 4;16:955558. doi: 10.3389/fnhum.2022.955558. eCollection 2022.,Chamberlin DE,Front Hum Neurosci,2023,2023/01/23,PMC9845783,,10.3389/fnhum.2022.955558
49,24702520,Active inference and agency,Friston K.,Cogn Neurosci. 2014;5(2):119-21. doi: 10.1080/17588928.2014.905517. Epub 2014 Apr 7.,Friston K,Cogn Neurosci,2014,2014/04/08,,,10.1080/17588928.2014.905517
50,30627670,Active Inference and Auditory Hallucinations,"Benrimoh D, Parr T, Vincent P, Adams RA, Friston K.",Comput Psychiatr. 2018 Dec;2:183-204. doi: 10.1162/cpsy_a_00022.,Benrimoh D,Comput Psychiatr,2018,2019/01/11,PMC6317754,,10.1162/cpsy_a_00022
51,32732017,Active listening,"Friston KJ, Sajid N, Quiroga-Martinez DR, Parr T, Price CJ, Holmes E.",Hear Res. 2021 Jan;399:107998. doi: 10.1016/j.heares.2020.107998. Epub 2020 May 20.,Friston KJ,Hear Res,2021,2020/08/01,PMC7812378,,10.1016/j.heares.2020.107998
52,34022669,Robot navigation as hierarchical active inference,"Çatal O, Verbelen T, Van de Maele T, Dhoedt B, Safron A.",Neural Netw. 2021 Oct;142:192-204. doi: 10.1016/j.neunet.2021.05.010. Epub 2021 May 10.,Çatal O,Neural Netw,2021,2021/05/22,,,10.1016/j.neunet.2021.05.010
53,35668964,An Active Inference Account of Touch and Verbal Communication in Therapy,"Kim J, Esteves JE, Cerritelli F, Friston K.",Front Psychol. 2022 May 20;13:828952. doi: 10.3389/fpsyg.2022.828952. eCollection 2022.,Kim J,Front Psychol,2022,2022/06/07,PMC9163786,,10.3389/fpsyg.2022.828952
54,30407133,Impulsivity and Active Inference,"Mirza MB, Adams RA, Parr T, Friston K.",J Cogn Neurosci. 2019 Feb;31(2):202-220. doi: 10.1162/jocn_a_01352. Epub 2018 Nov 8.,Mirza MB,J Cogn Neurosci,2019,2018/11/09,,,10.1162/jocn_a_01352
55,34563472,The Markov blanket trick: On the scope of the free energy principle and active inference,"Raja V, Valluri D, Baggs E, Chemero A, Anderson ML.",Phys Life Rev. 2021 Dec;39:49-72. doi: 10.1016/j.plrev.2021.09.001. Epub 2021 Sep 14.,Raja V,Phys Life Rev,2021,2021/09/26,,,10.1016/j.plrev.2021.09.001
56,34210008,An Active Inference Model of Collective Intelligence,"Kaufmann R, Gupta P, Taylor J.",Entropy (Basel). 2021 Jun 29;23(7):830. doi: 10.3390/e23070830.,Kaufmann R,Entropy (Basel),2021,2021/07/02,PMC8306784,,10.3390/e23070830
57,25976632,Perceptual inference,Aggelopoulos NC.,Neurosci Biobehav Rev. 2015 Aug;55:375-92. doi: 10.1016/j.neubiorev.2015.05.001. Epub 2015 May 11.,Aggelopoulos NC,Neurosci Biobehav Rev,2015,2015/05/16,,,10.1016/j.neubiorev.2015.05.001
58,32488244,Degeneracy and Redundancy in Active Inference,"Sajid N, Parr T, Hope TM, Price CJ, Friston KJ.",Cereb Cortex. 2020 Oct 1;30(11):5750-5766. doi: 10.1093/cercor/bhaa148.,Sajid N,Cereb Cortex,2020,2020/06/04,PMC7899066,,10.1093/cercor/bhaa148
59,34901166,Active Inference Through Energy Minimization in Multimodal Affective Human-Robot Interaction,"Horii T, Nagai Y.",Front Robot AI. 2021 Nov 26;8:684401. doi: 10.3389/frobt.2021.684401. eCollection 2021.,Horii T,Front Robot AI,2021,2021/12/13,PMC8662315,,10.3389/frobt.2021.684401
60,33250804,"Losing Ourselves: Active Inference, Depersonalization, and Meditation","Deane G, Miller M, Wilkinson S.",Front Psychol. 2020 Oct 29;11:539726. doi: 10.3389/fpsyg.2020.539726. eCollection 2020.,Deane G,Front Psychol,2020,2020/11/30,PMC7673417,,10.3389/fpsyg.2020.539726
61,30369836,Active Inference and Cognitive Consistency,Friston KJ.,Psychol Inq. 2018 Oct 10;29(2):67-73. doi: 10.1080/1047840X.2018.1480693. eCollection 2018.,Friston KJ,Psychol Inq,2018,2018/10/30,PMC6191887,,10.1080/1047840X.2018.1480693
62,36228614,In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,"Kagan BJ, Kitchen AC, Tran NT, Habibollahi F, Khajehnejad M, Parker BJ, Bhat A, Rollo B, Razi A, Friston KJ.",Neuron. 2022 Dec 7;110(23):3952-3969.e8. doi: 10.1016/j.neuron.2022.09.001. Epub 2022 Oct 12.,Kagan BJ,Neuron,2022,2022/10/13,PMC9747182,,10.1016/j.neuron.2022.09.001
63,34507043,An empirical evaluation of active inference in multi-armed bandits,"Marković D, Stojić H, Schwöbel S, Kiebel SJ.",Neural Netw. 2021 Dec;144:229-246. doi: 10.1016/j.neunet.2021.08.018. Epub 2021 Aug 26.,Marković D,Neural Netw,2021,2021/09/10,,,10.1016/j.neunet.2021.08.018
64,33562847,Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management,Fox S.,Entropy (Basel). 2021 Feb 5;23(2):198. doi: 10.3390/e23020198.,Fox S,Entropy (Basel),2021,2021/02/10,PMC7916013,,10.3390/e23020198
65,34280254,Chance-Constrained Active Inference,"van de Laar T, Şenöz İ, Özçelikkale A, Wymeersch H.",Neural Comput. 2021 Sep 16;33(10):2710-2735. doi: 10.1162/neco_a_01427.,van de Laar T,Neural Comput,2021,2021/07/19,,,10.1162/neco_a_01427
66,35210988,Synthetic Spatial Foraging With Active Inference in a Geocaching Task,"Neacsu V, Convertino L, Friston KJ.",Front Neurosci. 2022 Feb 8;16:802396. doi: 10.3389/fnins.2022.802396. eCollection 2022.,Neacsu V,Front Neurosci,2022,2022/02/25,PMC8861269,,10.3389/fnins.2022.802396
67,37678710,Does active inference provide a comprehensive theory of placebo analgesia?,"Milde C, Brinskelle LS, Glombiewski JA.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2023 Sep 5:S2451-9022(23)00219-7. doi: 10.1016/j.bpsc.2023.08.007. Online ahead of print.,Milde C,Biol Psychiatry Cogn Neurosci Neuroimaging,2023,2023/09/07,,,10.1016/j.bpsc.2023.08.007
68,27870614,Active Inference: A Process Theory,"Friston K, FitzGerald T, Rigoli F, Schwartenbeck P, Pezzulo G.",Neural Comput. 2017 Jan;29(1):1-49. doi: 10.1162/NECO_a_00912. Epub 2016 Nov 21.,Friston K,Neural Comput,2017,2016/11/22,,,10.1162/NECO_a_00912
69,32831534,A tale of two densities: active inference is enactive inference,"Ramstead MJ, Kirchhoff MD, Friston KJ.",Adapt Behav. 2020 Aug;28(4):225-239. Epub 2019 Jul 21.,Ramstead MJ,Adapt Behav,2020,2020/08/25,PMC7418871,,
70,33376985,"Paradoxical lesions, plasticity and active inference","Sajid N, Parr T, Gajardo-Vidal A, Price CJ, Friston KJ.",Brain Commun. 2020 Oct 1;2(2):fcaa164. doi: 10.1093/braincomms/fcaa164. eCollection 2020.,Sajid N,Brain Commun,2020,2020/12/30,PMC7750943,,10.1093/braincomms/fcaa164
71,28777724,"Active Inference, Curiosity and Insight","Friston KJ, Lin M, Frith CD, Pezzulo G, Hobson JA, Ondobaka S.",Neural Comput. 2017 Oct;29(10):2633-2683. doi: 10.1162/neco_a_00999. Epub 2017 Aug 4.,Friston KJ,Neural Comput,2017,2017/08/05,,,10.1162/neco_a_00999
72,34456822,Active Inference and Cooperative Communication: An Ecological Alternative to the Alignment View,"Tison R, Poirier P.",Front Psychol. 2021 Aug 12;12:708780. doi: 10.3389/fpsyg.2021.708780. eCollection 2021.,Tison R,Front Psychol,2021,2021/08/30,PMC8397515,,10.3389/fpsyg.2021.708780
73,32132646,Active inference under visuo-proprioceptive conflict: Simulation and empirical results,"Limanowski J, Friston K.",Sci Rep. 2020 Mar 4;10(1):4010. doi: 10.1038/s41598-020-61097-w.,Limanowski J,Sci Rep,2020,2020/03/06,PMC7055248,,10.1038/s41598-020-61097-w
74,29407941,Active inference and the anatomy of oculomotion,"Parr T, Friston KJ.",Neuropsychologia. 2018 Mar;111:334-343. doi: 10.1016/j.neuropsychologia.2018.01.041. Epub 2018 Jan 31.,Parr T,Neuropsychologia,2018,2018/02/07,PMC5884328,,10.1016/j.neuropsychologia.2018.01.041
75,34280302,Realizing Active Inference in Variational Message Passing: The Outcome-Blind Certainty Seeker,"Champion T, Grześ M, Bowman H.",Neural Comput. 2021 Sep 16;33(10):2762-2826. doi: 10.1162/neco_a_01422.,Champion T,Neural Comput,2021,2021/07/19,,,10.1162/neco_a_01422
76,29949461,"Active Inference, Belief Propagation, and the Bethe Approximation","Schwöbel S, Kiebel S, Marković D.",Neural Comput. 2018 Sep;30(9):2530-2567. doi: 10.1162/neco_a_01108. Epub 2018 Jun 27.,Schwöbel S,Neural Comput,2018,2018/06/28,,,10.1162/neco_a_01108
77,32324758,Learning action-oriented models through active inference,"Tschantz A, Seth AK, Buckley CL.",PLoS Comput Biol. 2020 Apr 23;16(4):e1007805. doi: 10.1371/journal.pcbi.1007805. eCollection 2020 Apr.,Tschantz A,PLoS Comput Biol,2020,2020/04/24,PMC7200021,,10.1371/journal.pcbi.1007805
78,23129312,Predictions not commands: active inference in the motor system,"Adams RA, Shipp S, Friston KJ.",Brain Struct Funct. 2013 May;218(3):611-43. doi: 10.1007/s00429-012-0475-5. Epub 2012 Nov 6.,Adams RA,Brain Struct Funct,2013,2012/11/07,PMC3637647,,10.1007/s00429-012-0475-5
79,33705313,Blind Image Quality Assessment With Active Inference,"Ma J, Wu J, Li L, Dong W, Xie X, Shi G, Lin W.",IEEE Trans Image Process. 2021;30:3650-3663. doi: 10.1109/TIP.2021.3064195. Epub 2021 Mar 17.,Ma J,IEEE Trans Image Process,2021,2021/03/11,,,10.1109/TIP.2021.3064195
80,33488462,Representation Wars: Enacting an Armistice Through Active Inference,"Constant A, Clark A, Friston KJ.",Front Psychol. 2021 Jan 7;11:598733. doi: 10.3389/fpsyg.2020.598733. eCollection 2020.,Constant A,Front Psychol,2021,2021/01/25,PMC7817850,,10.3389/fpsyg.2020.598733
81,35250723,Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony,"McParlin Z, Cerritelli F, Friston KJ, Esteves JE.",Front Psychol. 2022 Feb 17;13:783694. doi: 10.3389/fpsyg.2022.783694. eCollection 2022.,McParlin Z,Front Psychol,2022,2022/03/07,PMC8892201,,10.3389/fpsyg.2022.783694
82,31528360,Perceptual awareness and active inference,"Parr T, Corcoran AW, Friston KJ, Hohwy J.",Neurosci Conscious. 2019 Sep 10;2019(1):niz012. doi: 10.1093/nc/niz012. eCollection 2019.,Parr T,Neurosci Conscious,2019,2019/09/19,PMC6734140,,10.1093/nc/niz012
83,36890967,A neural active inference model of perceptual-motor learning,"Yang Z, Diaz GJ, Fajen BR, Bailey R, Ororbia AG.",Front Comput Neurosci. 2023 Feb 20;17:1099593. doi: 10.3389/fncom.2023.1099593. eCollection 2023.,Yang Z,Front Comput Neurosci,2023,2023/03/09,PMC9986490,,10.3389/fncom.2023.1099593
84,25689102,Active inference and epistemic value,"Friston K, Rigoli F, Ognibene D, Mathys C, Fitzgerald T, Pezzulo G.",Cogn Neurosci. 2015;6(4):187-214. doi: 10.1080/17588928.2015.1020053. Epub 2015 Mar 13.,Friston K,Cogn Neurosci,2015,2015/02/18,,,10.1080/17588928.2015.1020053
85,36946528,"Active Inference, Epistemic Value, and Uncertainty in Conceptual Disorganization in First-Episode Schizophrenia","Limongi R, Silva AM, Mackinley M, Ford SD, Palaniyappan L.",Schizophr Bull. 2023 Mar 22;49(Suppl_2):S115-S124. doi: 10.1093/schbul/sbac125.,Limongi R,Schizophr Bull,2023,2023/03/22,PMC10031740,,10.1093/schbul/sbac125
86,35636164,Branching time active inference: Empirical study and complexity class analysis,"Champion T, Bowman H, Grześ M.",Neural Netw. 2022 Aug;152:450-466. doi: 10.1016/j.neunet.2022.05.010. Epub 2022 May 20.,Champion T,Neural Netw,2022,2022/05/31,,,10.1016/j.neunet.2022.05.010
87,29343629,"The Markov blankets of life: autonomy, active inference and the free energy principle","Kirchhoff M, Parr T, Palacios E, Friston K, Kiverstein J.",J R Soc Interface. 2018 Jan;15(138):20170792. doi: 10.1098/rsif.2017.0792.,Kirchhoff M,J R Soc Interface,2018,2018/01/19,PMC5805980,,10.1098/rsif.2017.0792
