Papers,Chapter,Notes,Archive
Dopamine Role in Learning and Action Inference,[13],Cite. Decision-making and impulsivity,Paperpile
Embodied decisions as active inference,[13],Decision-making,BioArXiv
Enacting proprioceptive predictions in the rubber hand illusion,[13],Read. Auditory hallucinations,Paperpile
Flexible intentions: an active inference theory,[13],Read. Decision-making and impulsivity. Notation (discrete),Paperpile
How preferences enslave attention: calling into question the endogenous/exogenous distinction from an active inference perspective,[13],Attention,PsyArXiv
Imprecise action selection in substance use disorder: evidence for active learning impairments when solving the explore-exploit dilemma,[13],Habit formation,Paperpile
Inference of affordances and active motor control in simulated agents,[13],Read,Paperpile
Insight and the selection of ideas,[13],Insight,PsyArXiv
"Is interesting knowledge a reward? An integrative model of emotion, reward and appraisal frameworks of epistemic curiosity.",[13],Curiosity,PsyArXiv
Learning action-oriented models through active inference,[13],Goal-directed behavior,BioArXiv
"Model averaging, optimal inference, and habit formation",[13],Habit formation,Paperpile
On Predictive Planning and Counterfactual Learning in Active Inference,[13],Decision-making,Pubmed (after Sept 2023)
Predictive coding explains binocular rivalry: an epistemological review ,[13],Cite. Visual illusions,Paperpile
"Preferences need inferences: Learning, valuation, and curiosity in aesthetic experience",[13],Curiosity,PsyArXiv
Spatial and Temporal Hierarchy for Autonomous Navigation Using Active Inference in Minigrid Environment,[13],Goal-directed behavior,Pubmed (after Sept 2023)
Symmetry and complexity in object-centric deep active inference models,[13],,Paperpile
The control of epistemic curiosity in the human brain,[13],Curiosity,BioArXiv
With an eye on uncertainty: Modeling pupillary responses to environmental volatility,[13],Cite. Decision-making and impulsivity,Paperpile
A Novel Adaptive Controller for Robot Manipulators based on Active Inference,[14],Robotics,ArXiv
Active inference and robot control: a case study,[14],,Paperpile
Active Inference Through Energy Minimization in Multimodal Affective Human-Robot Interaction,[14],,Paperpile
Active Vision for Robot Manipulators Using the Free Energy Principle,[14],,Paperpile
Adaptation through prediction: multisensory active inference torque control,[14],"Robotics, torque controller",ArXiv
An active inference model of car following: Advantages and applications,[14],Robotics,ArXiv
Dynamic Expectation Maximization Algorithm for Estimation of Linear Systems with Colored Noise,[14],,Paperpile
Learning Policies for Continuous Control via Transition Models,[14],Learning generative models,ArXiv
Navigating Autonomous Vehicle on Unmarked Roads with Diffusion-Based Motion Prediction and Active Inference,[14],Self-driving,ArXiv
"Neuroscience-inspired perception-action in robotics: applying active inference for state estimation, control and self-perception",[14],Make sure this is in the reviews,ArXiv
Object-Centric Scene Representations Using Active Inference,[14],Make sure cited,Pubmed (after Sept 2023)
Predictive Processing in Cognitive Robotics: a Review,[14],Make sure cited,ArXiv
Resolving uncertainty on the fly: modeling adaptive driving behavior as active inference,[14],Autonomous driving,Pubmed (after Sept 2023)
Tactile Active Inference Reinforcement Learning for Efficient Robotic Manipulation Skill Acquisition,[14],Make sure cited,ArXiv
Trust as Extended Control: Human-Machine Interactions as Active Inference,[14],,Paperpile
World Models and Predictive Coding for Cognitive and Developmental Robotics: Frontiers and Challenges,[14],Make sure cited,ArXiv
Retrospective surprise: A computational component for active inference,"[15,16]",Not sure where to put it,PsyArXiv
‘Through others we become ourselves’: The dialectics of predictive coding and active inference,[15],Social interaction,PsyArXiv
A Bayesian perspective on classical control,[15],Equivalence,ArXiv
Active Inference and Reinforcement Learning: A unified inference on continuous state and action spaces under partial observability,[15],Reinforcement learning,ArXiv
Active Inference as a Framework for Brain-Computer Interfaces,[15],Cybernetics - brain computer interfaces,BioArXiv
Active Inference as a Model of Agency,[15],Agency and RL,ArXiv
Active Inference Demonstrated with Artificial Spin Ice,[15],,ArXiv
Active Inference for Adaptive BCI: application to the P300 Speller,[15],Cybernetics - brain computer interfaces,ArXiv
Active Inference for Stochastic Control,[15],Compare to RL,ArXiv
Active Inference in Hebbian Learning Networks,[15],Deep AIF,ArXiv
Active Inference in String Diagrams: A Categorical Account of Predictive Processing and Free Energy,[15],Category theory,ArXiv
Active inference models do not contradict folk psychology,[15],Emotion,PsyArXiv
Active Inference on the Edge: A Design Study,[15],Federated AIF? Belief sharing?,ArXiv
Active Inference or Control as Inference? A Unifying View,[15],Equivalence,ArXiv
Active Inference-Based Optimization of Discriminative Neural Network Classifiers,[15],Deep AIF,ArXiv
"Active inference, Bayesian optimal design, and expected utility",[15],Bayesian optimal design,ArXiv
"Active inference, stressors, and psychological trauma: A neuroethological model of (mal)adaptive explore-exploit dynamics in ecological context",[15],Allostasis (maybe?),BioArXiv
Adaptive oscillators support Bayesian prediction in temporal processing,[15],Coordinated behavior,Pubmed (after Sept 2023)
AFA-PredNet: The action modulation within predictive coding,[15],Deep AIF,ArXiv
"All thinking is ""wishful"" thinking",[15],"This one is important for answering some of the higher order questions about belief updating and motivation. The related papers are ""Hierarchical active inference: a theory of motivated control"" and ""Active Inference, homeostatic regulation and adaptive behavioral control"". In Chapter 16 it may be important to build up some of the grander theories.",Paperpile
Allostasis as a core feature of hierarchical gradients in the human brain,[15],Interoceptive inference,Pubmed (after Sept 2023)
Allostatic interoceptive overload across psychiatric and neurological conditions,[15],Allostasis,Pubmed (after Sept 2023)
An Overview of the Free Energy Principle and Related Research,[15],RL,Pubmed (after Sept 2023)
Anomaly Detection via Controlled Sensing and Deep Active Inference,[15],Deep AIF,ArXiv
Bayesian policy selection using active inference,[15],RL v. AIF,ArXiv
Being a beast machine: The origins of selfhood in control-oriented interoceptive inference,[15],Already cited?,PsyArXiv
Bidirectional Interaction between Visual and Motor Generative Models using Predictive Coding and Active Inference,[15],"Robotics, motor control",ArXiv
Blockchain-Based Decentralized Knowledge Marketplace Using Active Inference,[15],,ArXiv
Capsule Networks as Generative Models,[15],Deep AIF,ArXiv
Collective behavior from surprise minimization,[15],Collective behavior,Pubmed (after Sept 2023)
Compositional Active Inference I: Bayesian Lenses. Statistical Games,[15],Category theory,ArXiv
Compositional Active Inference II: Polynomial Dynamics. Approximate Inference Doctrines,[15],Category theory,ArXiv
"Correction: Hybrid predictive coding: Inferring, fast and slow",[15],Deep AIF and Deep PC,Pubmed (after Sept 2023)
Deep active inference agents using Monte-Carlo methods,[15],Deep AIF,ArXiv
Deep Active Inference for Partially Observable MDPs,[15],Vs RL,ArXiv
Deep Active Inference for Pixel-Based Discrete Control: Evaluation on the Car Racing Problem,[15],Vs RL,ArXiv
Deriving time-averaged active inference from control principles,[15],Optimal control theory,ArXiv
Designing explainable artificial intelligence with active inference: A framework for transparent introspection and decision-making,[15],Introspection and selfhood,ArXiv
Disentangling Shape and Pose for Object-Centric Deep Active Inference Models,[15],Deep AIF,ArXiv
Forgetting ourselves in flow: an active inference account of flow states and how we experience ourselves within them,[15],Selfhood,Pubmed (after Sept 2023)
Hybrid Active Inference,[15],Cybernetics,ArXiv
"I like therefore I can, and I can therefore I like: the role of self-efficacy and affect in active inference of allostasis",[15],Homeostasis,Pubmed (after Sept 2023)
Kalman filters as the steady-state solution of gradient descent on variational free energy,[15],Equivalence,ArXiv
Learning Generative Models for Active Inference using Tensor Networks,[15],Deep AIF,ArXiv
Mathematical Foundations for a Compositional Account of the Bayesian Brain,[15],Category theory,ArXiv
Neural dynamics under active inference: plausibility and efficiency of information processing,[15],Effeciency. May already be cited.,ArXiv
Object-based active inference,[15],Deep AIF,ArXiv
"On Kalman-Bucy filters, linear quadratic control and active inference",[15],Equivalence,ArXiv
On Solving a Stochastic Shortest-Path Markov Decision Process as Probabilistic Inference,[15],RL?,ArXiv
On the Relationship Between Active Inference and Control as Inference,[15],Equivalence,ArXiv
Planning to Learn: A Novel Algorithm for Active Learning during Model-Based Planning,[15],Equivalency. Comparison to Bayes-adaptive RL,Paperpile
Predictive Coding as a Neuromorphic Alternative to Backpropagation: A Critical Evaluation,[15],PC and backprop,Pubmed (after Sept 2023)
Predictive Minds: LLMs As Atypical Active Inference Agents,[15],LLMs,ArXiv
Predictive Motor Control Based on a Generative Adversarial Network,[15],Deep AIF,BioArXiv
Reinforcement Learning through Active Inference,[15],Equivalence,ArXiv
Resonating Minds -- Emergent Collaboration Through Hierarchical Active Inference,[15],Collective behavior,ArXiv
Shared Protentions in Multi-Agent Active Inference,[15],Multi agent,Pubmed (after Sept 2023)
"Simulating homeostatic, allostatic and goal-directed forms of interoceptive control using Active Inference",[15],Interoception,BioArXiv
Social intelligence model with multiple internal models,[15],Collective behavior,BioArXiv
Spin glass systems as collective active inference,[15],Collective behavior,ArXiv
Successor Representation Active Inference,[15],RL: Successor representation,ArXiv
"The cognitive neuroscience of self-awareness: Current framework, clinical implications, and future research directions",[15],Selfhood,Pubmed (after Sept 2023)
The Free Energy Principle for Perception and Action: A Deep Learning Perspective,[15],Deep AIF,ArXiv
The Homeostatic Logic of Reward,[15],Homeostasis,BioArXiv
The modularity of action and perception revisited using control theory and active inference,[15],Equivalence,ArXiv
The Role of Valence and Meta-awareness in Mirror Self-recognition Using Hierarchical Active Inference,[15],Book 2,ArXiv
Towards Understanding Persons and their Personalities with Cybernetic Big 5 Theory and the Free Energy Principle and Active Inference (FEP-AI) Framework,[15],"Review, check out, emotions",PsyArXiv
An information-theoretic perspective on the costs of cognition,[15],Information theory,BioArXiv
Interactive inference: a multi-agent model of cooperative joint actions,[15],Multi-agent,ArXiv
On efficient computation in active inference,[15],Deep AIF,ArXiv
A Free Energy Principle for Biological Systems,[16],,Paperpile
A probabilistic interpretation of PID controllers using active inference,[16],Equivalency,Paperpile
Active inference or control as inference? A unifying view,[16],Equivalency,Paperpile
Application of the free energy principle to estimation and control,[16],Equivalency,Paperpile
Deep active inference as variational policy gradients,[16],Equivalency. Policy gradients,Paperpile
"Free energy, value, and attractors",[16],,Paperpile
"On Kalman bucy filters, linear quadratic control, and active inference",[16],Equivalency,Paperpile
On the relationship between active inference and control as inference,[16],Equivalency,Paperpile
PID control as a process of active inference with linear generative models,[16],Equivalency,Paperpile
The free-energy principle: a unified brain theory?,[16],,Paperpile
"The relationship between dynamic programming and active inference: The discrete, finite-horizon case",[16],Equivalency. Bellman optimality and dynamic programming,Paperpile
A Neural Network Implementation for Free Energy Principle,[4],Comparing AIF and Helmholtz machine,ArXiv
Reverse engineering neural networks to characterise their cost functions,[4],VFE minimization and cost functions.,BioArXiv
Surprise: a unified theory and experimental predictions,[4],Many ways to interpret surprisal,BioArXiv
Variational approximations,[4],MacKay 1992,Paperpile
Canonical neural networks perform active inference,[4],Neural substrate,Paperpile
Cultured Cortical Neurons Can Perform Blind Source Separation According to the Free-Energy Principle,[4],Neural substrate,Paperpile
Emergence of associative learning in a neuromorphic inference network,[4],Neural substrate,Paperpile
Experimental validation of the free-energy principle with in vitro neural networks,[4],Neural substrate,Paperpile
In vitro neural networks minimise variational free energy,[4],Neural substrate,Paperpile
In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,[4],Neural substrate,Paperpile
Linking Neuromodulated Spike-Timing Dependent Plasticity with the Free-Energy Principle,[4],Neural substrate,Paperpile
Noise Helps Optimization Escape From Saddle Points in the Synaptic Plasticity,[4],Neural substrate,Paperpile
The emergence of synchrony in networks of mutually inferring neurons,[4],Neural substrate,Paperpile
Active inference leads to Bayesian neurophysiology,[4],Neural substrate,Paperpile
A theory of cortical responses,[5],,Paperpile
"Active Predictive Coding: A Unifying Neural Model for Active Perception, Compositional Learning, and Hierarchical Planning",[5],Active predictive coding,Pubmed (after Sept 2023)
Applications of the Free Energy Principle to Machine Learning and Neuroscience,[5],Predictive coding,ArXiv
Combining Active Inference and Hierarchical Predictive Coding: A Tutorial Introduction and Case Study,[5],AIF and predictive coding,PsyArXiv
Functional integration and inference in the brain,[5],,Paperpile
Implementing Predictive Processing and Active Inference: Preliminary Steps and Results,[5],Active predictive coding?,PsyArXiv
Learning and inference in the brain,[5],,Paperpile
Predictive coding networks for temporal prediction,[5],Temporal PC,Pubmed (after Sept 2023)
Active inference and oculomotor pursuit: the dynamic causal modelling of eye movements,"[6,7,8,13]",Notation (continuous),Paperpile
"Active inference, sensory attenuation and illusions","[6,7,8,13]",Excellent notation examples.Motor illusions,Paperpile
A free energy principle for the brain,"[6,7,8]",,Paperpile
Active inference unifies intentional and conflict-resolution imperatives of motor control,"[6,7,8]",Notation (continuous),Paperpile
"Active inference, eye movements and oculomotor delays","[6,7,8]","Notation (continuous), great appendix!",Paperpile
Active strategies for multisensory conflict suppression in the virtual hand illusion,"[6,7,8]",Notation (Laplace),Paperpile
"Dopamine, affordance and active inference","[6,7,8]",Great notation esp. for hiearchical models,Paperpile
Hallucinations both in and out of context: An active inference account,"[6,7,8]",Notation (continuous),Paperpile
Precision and False Perceptual Inference,"[6,7,8]",Mostly seems to be a review of older simulations,Paperpile
The computational anatomy of psychosis,"[6,7,8]","Notation, see also figure of the effect of the posterior shift",Paperpile
Cortical circuits for perceptual inference,"[6,8]",Best continuous time notation explanation and Laplace assumption,Paperpile
DEM: a variational treatment of dynamic systems,"[6,8]",,Paperpile
Hierarchical models in the brain,"[6,8]",,Paperpile
Perception and hierarchical dynamics,"[6,8]","Chapter 8, important core paper to read, good simulation setup here, maybe useful. Good continuous state space notation",Paperpile
"Predictive coding, precision and synchrony","[6,8]",,Paperpile
Recognition Dynamics in the Brain under the Free Energy Principle,"[6,8]",Good continuous state space notation,Paperpile
Variational Bayesian identification and prediction of stochastic nonlinear dynamic causal models,"[6,8]",Never seen this paper but it seems very important. Revisit. Also has some nice descriptions of stochastic processes.,Paperpile
Variational filtering,"[6,8]",,Paperpile
Variational free energy and the Laplace approximation,"[6,8]",,Paperpile
Waves of prediction,"[6,8]",,Paperpile
A Minimal Active Inference Agent,[6],Simulation,ArXiv
Simultaneous learning and filtering without delusions: a Bayes-optimal combination of Predictive Inference and Adaptive Filtering,"[7,13]","Cite in Chapter 7, good example of learning the forward model. Read. Motor illusions",Paperpile
How higher goals are constructed and collapse under stress: A hierarchical Bayesian control systems perspective,"[7,16]",Good history of cybernetics section including set-points useful for Chapter 7,Paperpile
Perceptions as hypotheses: saccades as experiments,"[7,8,11,15]","Great notation and important perspective on action and Bayesian surprise to add to Chapter 7. Will be useful to refer back to this paper for Chapter 8 because it shows how to construct the block matrices for hierarchical models. For Chapter 15, there is good info here for the equivalence section. Consideration of infomax for example and other equivalences are laid out here. Also, the extension here about salience and hidden state controls needs to be mentioned in Chapter 11.",Paperpile
Computational Models of Interoception and Body Regulation,"[7,8,13]",Nice for Chapter 7 and Chapter 8 alongside very nice visualization that I can use as inspiration in these chapters,Paperpile
Computational Models of Interoception and Body Regulation,"[7,8]",Nice for Chapter 7 and Chapter 8 alongside very nice visualization that I can use as inspiration in these chapters,Paperpile
"Attention, uncertainty, and free-energy",[7],,Paperpile
Autopoiesis and Cognition: The Realization of the Living,[7],Active inference is an example of self-referenced learning in which “the actions of the learner influence its own learning without any valuation process”,Paperpile
Embodied skillful performance: where the action is,[7],"Best diagram of forward model control, very good reference for ch 7",Paperpile
Getting ahead: forward models and their place in cognitive architecture,[7],,Paperpile
Learning a Forward Model of a Reflex,[7],Active inference is an example of self-referenced learning in which “the actions of the learner influence its own learning without any valuation process”,Paperpile
Muscleless motor synergies and actions without movements: From motor neuroscience to cognitive robotics,[7],Good quote in here about action and marinettes. Quote in Chapter 7.,Paperpile
"Prediction, perception and agency",[7],"Good core review of active inference, great for Chapter 7.",Paperpile
Predictions in the eye of the beholder: an active inference account of Watt governors,[7],Cybernetics,ArXiv
Predictions not commands: active inference in the motor system,[7],Read closely for Chapter 7.,Paperpile
Reinforcement learning or active inference?,[7],,Paperpile
The perceptual shaping of anticipatory actions,[7],Also nice for Chapter 7,Paperpile
A computational theory for the production of limb movements,[7],Equilibrium point,ArXiv
Hierarchical disruption in the Bayesian brain: Focal epilepsy and brain networks,"[8,11,13]",Notation - especially for chapter 11. Very important diagram of the error and state unit relationship that should be replicated in Chapter 8!,Paperpile
Active inference and the anatomy of oculomotion,"[8,13]",Notation (continuous). See chapter 8 again. Useful way to consider the derivatives.,Paperpile
Hierarchical predictive coding in distributed pain circuits,"[8,13]","Great figure here on prediction errors, revisit for Chapter 8!",Paperpile
Reclaiming saliency: Rhythmic precision-modulated action and perception,"[8,E,11]",Simulation. DEM notation,Paperpile
A hierarchy of time-scales and the brain,[8],,Paperpile
Active Inference and Learning in the Cerebellum,[8],Notation (continuous),Paperpile
Active inference under visuo-proprioceptive conflict: Simulation and empirical results,[8],Notation (continuous),Paperpile
"Active inference, attention, and motor preparation",[8],Notation (continuous),Paperpile
Canonical neural networks perform active inference,[8],Recognition dynamics,BioArXiv
"Cerebral hierarchies: predictive processing, precision and the pulvinar",[8],Notation (continuous),Paperpile
Computational Neuropsychology and Bayesian Inference,[8],Hierarchical models,Paperpile
Distinguishing theory from implementation in predictive coding accounts of brain function,[8],,Paperpile
Dynamic planning in hierarchical active inference,[8],Good review on hierarchical AIF,ArXiv
"Free energy, precision and learning: the role of cholinergic neuromodulation",[8],Notation (continuous),Paperpile
Modeling motor control in continuous-time Active Inference: a survey,[8],,ArXiv
Reframing the Expected Free Energy: Four Formulations and a Unification,"[9, 11]",Check out,ArXiv
Inferring what to do (and what not to do),"[9,10,11,13]",Good notation for discrete time,Paperpile
A step-by-step tutorial on active inference and its application to empirical data,"[9,10]",,Paperpile
Active inference and agency: optimal control without cost functions,"[9,10]",,Paperpile
Active inference and epistemic value,"[9,10]",,Paperpile
Active inference and learning,"[9,10]",,Paperpile
Active inference on discrete state-spaces: A synthesis,"[9,10]",,Paperpile
"Active Inference, Curiosity and Insight","[9,10]",,Paperpile
Active Inference: A Process Theory,"[9,10]",,Paperpile
Cognitive effort and active inference,"[9,10]",Great discrete time notation and explanation,Paperpile
Computational mechanisms of curiosity and goal-directed exploration,"[9,10]",Notation (discrete),Paperpile
Computational Phenotyping in Psychiatry: A Worked Example,"[9,10]",Code and notation,Paperpile
Contextual perception under active inference,"[9,10]",Important and notation,Paperpile
Deep Active Inference and Scene Construction,"[9,10]",EFE derivation,Paperpile
Deep temporal models and active inference,"[9,10]",Hierarchical discrete example. Discussion of information gain and infomax among other things.,Paperpile
"Dopamine, reward learning, and active inference","[9,10]",,Paperpile
Everything is connected: Inference and attractors in delusions,"[9,10]",Notation (discrete),Paperpile
"Exploration, novelty, surprise, and free energy minimization","[9,10]",,Paperpile
Impulsivity and Active Inference,"[9,10]",Discrete time notation including action selection types. Check out VFE and EFE equations in matrix form here.,Paperpile
Introducing a Bayesian model of selective attention based on active inference,"[9,10]",Notation (discrete),Paperpile
Prefrontal Computation as Active Inference,"[9,10]",Good discrete notation and simulation,Paperpile
pymdp: A Python library for active inference in discrete state spaces,"[9,10]",Make sure cited.,ArXiv
"Scene Construction, Visual Foraging, and Active Inference","[9,10]",Notation for factorial depth in discrete time models?,Paperpile
Simulating lesion-dependent functional recovery mechanisms,"[9,10]",Full notation for the learning update rules in discerete time active inference,Paperpile
Synthetic Spatial Foraging With Active Inference in a Geocaching Task,"[9,10]",Notation (discrete),Paperpile
The anatomy of choice: active inference and agency,"[9,10]",,Paperpile
The anatomy of choice: dopamine and decision-making,"[9,10]",Mostly irrelevant but good to read to extract some useful information,Paperpile
"Working memory, attention, and salience in active inference","[9,10]","Notation for discrete time active inference, see Chapter 9. See also notation for action selection.",Paperpile
Active sensing with predictive coding and uncertainty minimization,[9],Discrete AIF examples,Pubmed (after Sept 2023)
Adaptive planning depth in human problem solving,[9],Planning depth,BioArXiv
An Active Inference Model of the Optimism Bias,[9],Optimistic agents via precision over positive outcomes,PsyArXiv
"Generative models, linguistic communication and active inference",[9],Look closely at the notation here for outcomes and states!,Paperpile
Integrating cognitive map learning and active inference for planning in ambiguous environments,[9],Planning under uncertainty,ArXiv
Planning and navigation as active inference,[9],"Great discrete time notation, look at table here for Chapter 9; also Bayesian model averaging equation",Paperpile
Slow but flexible or fast but rigid? Discrete and continuous processes compared,[9],Part II intro?,BioArXiv
What is value-accumulated reward or evidence?,"[A,7,9]",Precursor to discrete time active inference. Worth taking a closer look to see if I put this in Appendix A yet and how they try to extend continuous time action into planning.,Paperpile
Granger causality revisited,[B],Return to this paper for some ideas on causality,Paperpile
