PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37550277","Experimental validation of the free-energy principle with in vitro neural networks","Isomura T, Kotani K, Jimbo Y, Friston KJ.","Nat Commun. 2023 Aug 7;14(1):4547. doi: 10.1038/s41467-023-40141-z.","Isomura T","Nat Commun","2023","2023/08/07","PMC10406890","","10.1038/s41467-023-40141-z"
"33673663","A Technical Critique of Some Parts of the Free Energy Principle","Biehl M, Pollock FA, Kanai R.","Entropy (Basel). 2021 Feb 27;23(3):293. doi: 10.3390/e23030293.","Biehl M","Entropy (Basel)","2021","2021/03/06","PMC7997279","","10.3390/e23030293"
"37096665","Fetal brain activity and the free energy principle","Miyagi Y, Hata T, Miyake T.","J Perinat Med. 2023 Apr 26;51(7):925-931. doi: 10.1515/jpm-2023-0092. Print 2023 Sep 26.","Miyagi Y","J Perinat Med","2023","2023/04/25","","","10.1515/jpm-2023-0092"
"36008463","Emergence of sensory attenuation based upon the free-energy principle","Idei H, Ohata W, Yamashita Y, Ogata T, Tani J.","Sci Rep. 2022 Aug 25;12(1):14542. doi: 10.1038/s41598-022-18207-7.","Idei H","Sci Rep","2022","2022/08/25","PMC9411191","","10.1038/s41598-022-18207-7"
"29343629","The Markov blankets of life: autonomy, active inference and the free energy principle","Kirchhoff M, Parr T, Palacios E, Friston K, Kiverstein J.","J R Soc Interface. 2018 Jan;15(138):20170792. doi: 10.1098/rsif.2017.0792.","Kirchhoff M","J R Soc Interface","2018","2018/01/19","PMC5805980","","10.1098/rsif.2017.0792"
"33286659","Is the Free-Energy Principle a Formal Theory of Semantics? From Variational Density Dynamics to Neural and Phenotypic Representations","Ramstead MJD, Friston KJ, Hipólito I.","Entropy (Basel). 2020 Aug 13;22(8):889. doi: 10.3390/e22080889.","Ramstead MJD","Entropy (Basel)","2020","2020/12/08","PMC7517505","","10.3390/e22080889"
"36172769","A continuity of Markov blanket interpretations under the free-energy principle","Seth A, Korbak T, Tschantz A.","Behav Brain Sci. 2022 Sep 29;45:e208. doi: 10.1017/S0140525X2200036X.","Seth A","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X2200036X"
"33669529","The Free Energy Principle: Good Science and Questionable Philosophy in a Grand Unifying Theory","Sánchez-Cañizares J.","Entropy (Basel). 2021 Feb 19;23(2):238. doi: 10.3390/e23020238.","Sánchez-Cañizares J","Entropy (Basel)","2021","2021/03/06","PMC7922226","","10.3390/e23020238"
"37416544","Resurrecting Gaia: harnessing the Free Energy Principle to preserve life as we know it","Montgomery C, Hipólito I.","Front Psychol. 2023 Jun 15;14:1206963. doi: 10.3389/fpsyg.2023.1206963. eCollection 2023.","Montgomery C","Front Psychol","2023","2023/07/07","PMC10322209","","10.3389/fpsyg.2023.1206963"
"36172780","Nothing but a useful tool? (F)utility and the free-energy principle","Colombo M.","Behav Brain Sci. 2022 Sep 29;45:e191. doi: 10.1017/S0140525X22000346.","Colombo M","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000346"
"35812784","The Problem of Meaning: The Free Energy Principle and Artificial Agency","Kiverstein J, Kirchhoff MD, Froese T.","Front Neurorobot. 2022 Jun 23;16:844773. doi: 10.3389/fnbot.2022.844773. eCollection 2022.","Kiverstein J","Front Neurorobot","2022","2022/07/11","PMC9260223","","10.3389/fnbot.2022.844773"
"28576664","Uncertainty and stress: Why it causes diseases and how it is mastered by the brain","Peters A, McEwen BS, Friston K.","Prog Neurobiol. 2017 Sep;156:164-188. doi: 10.1016/j.pneurobio.2017.05.004. Epub 2017 May 30.","Peters A","Prog Neurobiol","2017","2017/06/04","","","10.1016/j.pneurobio.2017.05.004"
"23204829","A Free Energy Principle for Biological Systems","Karl F.","Entropy (Basel). 2012 Nov;14(11):2100-2121. doi: 10.3390/e14112100.","Karl F","Entropy (Basel)","2012","2012/12/04","PMC3510653","EMS50455","10.3390/e14112100"
"31727928","Free Energy Principle in Human Postural Control System: Skin Stretch Feedback Reduces the Entropy","Hur P, Pan YT, DeBuys C.","Sci Rep. 2019 Nov 14;9(1):16870. doi: 10.1038/s41598-019-53028-1.","Hur P","Sci Rep","2019","2019/11/16","PMC6856340","","10.1038/s41598-019-53028-1"
"33746730","Active Vision for Robot Manipulators Using the Free Energy Principle","Van de Maele T, Verbelen T, Çatal O, De Boom C, Dhoedt B.","Front Neurorobot. 2021 Mar 5;15:642780. doi: 10.3389/fnbot.2021.642780. eCollection 2021.","Van de Maele T","Front Neurorobot","2021","2021/03/22","PMC7973267","","10.3389/fnbot.2021.642780"
"33828471","Brain Entropy During Aging Through a Free Energy Principle Approach","Cieri F, Zhuang X, Caldwell JZK, Cordes D.","Front Hum Neurosci. 2021 Mar 22;15:647513. doi: 10.3389/fnhum.2021.647513. eCollection 2021.","Cieri F","Front Hum Neurosci","2021","2021/04/08","PMC8019811","","10.3389/fnhum.2021.647513"
"20631713","Is the free-energy principle neurocentric?","Friston K.","Nat Rev Neurosci. 2010 Aug;11(8):605. doi: 10.1038/nrn2787-c2.","Friston K","Nat Rev Neurosci","2010","2010/07/16","","","10.1038/nrn2787-c2"
"32460906","The cost of over-intellectualizing the free-energy principle","Hutto DD.","Behav Brain Sci. 2020 May 28;43:e105. doi: 10.1017/S0140525X19002851.","Hutto DD","Behav Brain Sci","2020","2020/05/29","","","10.1017/S0140525X19002851"
"32460911","Maladaptive social norms, cultural progress, and the free-energy principle","Colombo M.","Behav Brain Sci. 2020 May 28;43:e100. doi: 10.1017/S0140525X19002723.","Colombo M","Behav Brain Sci","2020","2020/05/29","","","10.1017/S0140525X19002723"
"19325932","Free-energy and the brain","Friston KJ, Stephan KE.","Synthese. 2007 Dec 1;159(3):417-458. doi: 10.1007/s11229-007-9237-y.","Friston KJ","Synthese","2007","2009/03/28","PMC2660582","UKMS3819","10.1007/s11229-007-9237-y"
"30761057","The Hard Problem of Consciousness and the Free Energy Principle","Solms M.","Front Psychol. 2019 Jan 30;9:2714. doi: 10.3389/fpsyg.2018.02714. eCollection 2018.","Solms M","Front Psychol","2019","2019/02/15","PMC6363942","","10.3389/fpsyg.2018.02714"
"23785269","Emotional valence and the free-energy principle","Joffily M, Coricelli G.","PLoS Comput Biol. 2013;9(6):e1003094. doi: 10.1371/journal.pcbi.1003094. Epub 2013 Jun 13.","Joffily M","PLoS Comput Biol","2013","2013/06/21","PMC3681730","","10.1371/journal.pcbi.1003094"
"36172784","Against free energy, for direct perception","Stoffregen TA, Heath R.","Behav Brain Sci. 2022 Sep 29;45:e212. doi: 10.1017/S0140525X22000103.","Stoffregen TA","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000103"
"35588546","Very particular: Comment on ""How particular is the physics of the free energy principle?""","Friston K.","Phys Life Rev. 2022 Jul;41:58-60. doi: 10.1016/j.plrev.2022.05.002. Epub 2022 May 10.","Friston K","Phys Life Rev","2022","2022/05/19","","","10.1016/j.plrev.2022.05.002"
"19559644","The free-energy principle: a rough guide to the brain?","Friston K.","Trends Cogn Sci. 2009 Jul;13(7):293-301. doi: 10.1016/j.tics.2009.04.005. Epub 2009 Jun 24.","Friston K","Trends Cogn Sci","2009","2009/06/30","","","10.1016/j.tics.2009.04.005"
"30021085","Recognition Dynamics in the Brain under the Free Energy Principle","Kim CS.","Neural Comput. 2018 Oct;30(10):2616-2659. doi: 10.1162/neco_a_01115. Epub 2018 Jul 18.","Kim CS","Neural Comput","2018","2018/07/19","","","10.1162/neco_a_01115"
"36201923","From a free energy principle to a free energy model?: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al","Palacios P.","Phys Life Rev. 2022 Dec;43:96-97. doi: 10.1016/j.plrev.2022.09.002. Epub 2022 Sep 20.","Palacios P","Phys Life Rev","2022","2022/10/06","","","10.1016/j.plrev.2022.09.002"
"29029962","Answering Schrödinger's question: A free-energy formulation","Ramstead MJD, Badcock PB, Friston KJ.","Phys Life Rev. 2018 Mar;24:1-16. doi: 10.1016/j.plrev.2017.09.001. Epub 2017 Sep 20.","Ramstead MJD","Phys Life Rev","2018","2017/10/15","PMC5857288","","10.1016/j.plrev.2017.09.001"
"36172767","Embracing sensorimotor history: Time-synchronous and time-unrolled Markov blankets in the free-energy principle","Virgo N, Rosas FE, Biehl M.","Behav Brain Sci. 2022 Sep 29;45:e215. doi: 10.1017/S0140525X22000334.","Virgo N","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000334"
"30072943","Expected Free Energy Formalizes Conflict Underlying Defense in Freudian Psychoanalysis","Connolly P.","Front Psychol. 2018 Jul 19;9:1264. doi: 10.3389/fpsyg.2018.01264. eCollection 2018.","Connolly P","Front Psychol","2018","2018/08/04","PMC6060308","","10.3389/fpsyg.2018.01264"
"27391680","Linking Neuromodulated Spike-Timing Dependent Plasticity with the Free-Energy Principle","Isomura T, Sakai K, Kotani K, Jimbo Y.","Neural Comput. 2016 Sep;28(9):1859-88. doi: 10.1162/NECO_a_00862. Epub 2016 Jul 8.","Isomura T","Neural Comput","2016","2016/07/09","","","10.1162/NECO_a_00862"
"21724508","A psychovisual quality metric in free-energy principle","Zhai G, Wu X, Yang X, Lin W, Zhang W.","IEEE Trans Image Process. 2012 Jan;21(1):41-52. doi: 10.1109/TIP.2011.2161092. Epub 2011 Jun 30.","Zhai G","IEEE Trans Image Process","2012","2011/07/05","","","10.1109/TIP.2011.2161092"
"37065269","Free energy and inference in living systems","Kim CS.","Interface Focus. 2023 Apr 14;13(3):20220041. doi: 10.1098/rsfs.2022.0041. eCollection 2023 Jun 6.","Kim CS","Interface Focus","2023","2023/04/17","PMC10102732","","10.1098/rsfs.2022.0041"
"30012517","Free-energy minimization in joint agent-environment systems: A niche construction perspective","Bruineberg J, Rietveld E, Parr T, van Maanen L, Friston KJ.","J Theor Biol. 2018 Oct 14;455:161-178. doi: 10.1016/j.jtbi.2018.07.002. Epub 2018 Jul 27.","Bruineberg J","J Theor Biol","2018","2018/07/18","PMC6117456","","10.1016/j.jtbi.2018.07.002"
"19528002","Predictive coding under the free-energy principle","Friston K, Kiebel S.","Philos Trans R Soc Lond B Biol Sci. 2009 May 12;364(1521):1211-21. doi: 10.1098/rstb.2008.0300.","Friston K","Philos Trans R Soc Lond B Biol Sci","2009","2009/06/17","PMC2666703","","10.1098/rstb.2008.0300"
"35662551","An informal reconstruction of the free-energy framework, examining the conceptual problems that arise","Thornton C.","Neuropsychologia. 2022 Aug 13;173:108281. doi: 10.1016/j.neuropsychologia.2022.108281. Epub 2022 May 31.","Thornton C","Neuropsychologia","2022","2022/06/06","","","10.1016/j.neuropsychologia.2022.108281"
"35660164","Regarding flows under the free energy principle: A comment on ""How particular is the physics of the free energy principle?"" by Aguilera, Millidge, Tschantz, and Buckley","Sakthivadivel DAR.","Phys Life Rev. 2022 Sep;42:25-28. doi: 10.1016/j.plrev.2022.05.009. Epub 2022 May 26.","Sakthivadivel DAR","Phys Life Rev","2022","2022/06/06","","","10.1016/j.plrev.2022.05.009"
"36172777","Blankets, heat, and why free energy has not illuminated the workings of the brain","Spector D, Graham D.","Behav Brain Sci. 2022 Sep 29;45:e209. doi: 10.1017/S0140525X22000188.","Spector D","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000188"
"34945925","Affect-Logic, Embodiment, Synergetics, and the Free Energy Principle: New Approaches to the Understanding and Treatment of Schizophrenia","Ciompi L, Tschacher W.","Entropy (Basel). 2021 Dec 1;23(12):1619. doi: 10.3390/e23121619.","Ciompi L","Entropy (Basel)","2021","2021/12/24","PMC8700589","","10.3390/e23121619"
"35588547","A test run of the free energy principle: All for naught?: Comment on ""How particular is the physics of the free energy principle?"" by Miguel Aguilera et al","Di Paolo EA.","Phys Life Rev. 2022 Jul;41:61-63. doi: 10.1016/j.plrev.2022.05.001. Epub 2022 May 10.","Di Paolo EA","Phys Life Rev","2022","2022/05/19","","","10.1016/j.plrev.2022.05.001"
"35930908","Does the free energy principle sleep on it?: Comment on ""How particular is the physics of the free energy principle?"" by Miguel Aguilera et al","Fernandez-Leon JA.","Phys Life Rev. 2022 Dec;43:1-3. doi: 10.1016/j.plrev.2022.07.004. Epub 2022 Jul 25.","Fernandez-Leon JA","Phys Life Rev","2022","2022/08/05","","","10.1016/j.plrev.2022.07.004"
"35605414","Inferential dynamics: Comment on: How particular is the physics of the free energy principle? by Aguilera et al","Parr T.","Phys Life Rev. 2022 Sep;42:1-3. doi: 10.1016/j.plrev.2022.05.006. Epub 2022 May 16.","Parr T","Phys Life Rev","2022","2022/05/23","","","10.1016/j.plrev.2022.05.006"
"30704846","The hierarchically mechanistic mind: A free-energy formulation of the human psyche","Badcock PB, Friston KJ, Ramstead MJD.","Phys Life Rev. 2019 Dec;31:104-121. doi: 10.1016/j.plrev.2018.10.002. Epub 2019 Jan 10.","Badcock PB","Phys Life Rev","2019","2019/02/02","PMC6941235","","10.1016/j.plrev.2018.10.002"
"22013413","Free energy and dendritic self-organization","Kiebel SJ, Friston KJ.","Front Syst Neurosci. 2011 Oct 11;5:80. doi: 10.3389/fnsys.2011.00080. eCollection 2011.","Kiebel SJ","Front Syst Neurosci","2011","2011/10/21","PMC3190184","","10.3389/fnsys.2011.00080"
"36821891","From the free energy principle to a confederation of Bayesian mechanics: Reply to comments on ""How particular is the physics of the free energy principle?""","Aguilera M, Millidge B, Tschantz A, Buckley CL.","Phys Life Rev. 2023 Mar;44:270-275. doi: 10.1016/j.plrev.2023.01.018. Epub 2023 Feb 8.","Aguilera M","Phys Life Rev","2023","2023/02/23","","","10.1016/j.plrev.2023.01.018"
"36172751","Does the metaphysical dog wag its formal tail? The free-energy principle and philosophical debates about life, mind, and matter","Wiese W.","Behav Brain Sci. 2022 Sep 29;45:e216. doi: 10.1017/S0140525X22000292.","Wiese W","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000292"
"36007488","Patterns and particles: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja et al","Parr T.","Phys Life Rev. 2022 Dec;43:17-19. doi: 10.1016/j.plrev.2022.08.001. Epub 2022 Aug 18.","Parr T","Phys Life Rev","2022","2022/08/25","","","10.1016/j.plrev.2022.08.001"
"35738072","Particular flows and attracting sets: A comment on ""How particular is the physics of the free energy principle?"" by Aguilera, Millidge, Tschantz and Buckley","Heins C.","Phys Life Rev. 2022 Sep;42:43-48. doi: 10.1016/j.plrev.2022.06.003. Epub 2022 Jun 13.","Heins C","Phys Life Rev","2022","2022/06/23","","","10.1016/j.plrev.2022.06.003"
"34727729","Sex and Prediction Error, Part 2: Jouissance and The Free Energy Principle in Neuropsychoanalysis","Dall'Aglio J.","J Am Psychoanal Assoc. 2021 Aug;69(4):715-741. doi: 10.1177/00030651211042377.","Dall'Aglio J","J Am Psychoanal Assoc","2021","2021/11/03","","","10.1177/00030651211042377"
"35724536","Sparse coupling and Markov blankets: A comment on ""How particular is the physics of the Free Energy Principle?"" by Aguilera, Millidge, Tschantz and Buckley","Heins C, Da Costa L.","Phys Life Rev. 2022 Sep;42:33-39. doi: 10.1016/j.plrev.2022.06.001. Epub 2022 Jun 10.","Heins C","Phys Life Rev","2022","2022/06/20","","","10.1016/j.plrev.2022.06.001"
"35779368","Living on the edge - practical information geometry for studying the emergence and propagation of life forms: Comment on ""How particular is the physics of the free-energy principle?"" by Aguilera et al","Hesp C, Hipólito I.","Phys Life Rev. 2022 Sep;42:52-55. doi: 10.1016/j.plrev.2022.06.004. Epub 2022 Jun 20.","Hesp C","Phys Life Rev","2022","2022/07/02","","","10.1016/j.plrev.2022.06.004"
"32527680","The growth of cognition: Free energy minimization and the embryogenesis of cortical computation","Wright JJ, Bourke PD.","Phys Life Rev. 2021 Mar;36:83-99. doi: 10.1016/j.plrev.2020.05.004. Epub 2020 Jun 1.","Wright JJ","Phys Life Rev","2021","2020/06/13","","","10.1016/j.plrev.2020.05.004"
"36832633","Turn-Taking Mechanisms in Imitative Interaction: Robotic Social Interaction Based on the Free Energy Principle","Wirkuttis N, Ohata W, Tani J.","Entropy (Basel). 2023 Jan 31;25(2):263. doi: 10.3390/e25020263.","Wirkuttis N","Entropy (Basel)","2023","2023/02/25","PMC9955692","","10.3390/e25020263"
"20034840","Some puzzles relating to the free-energy principle: comment on Friston","Thornton C.","Trends Cogn Sci. 2010 Feb;14(2):53-4; author reply 54-5. doi: 10.1016/j.tics.2009.11.010. Epub 2009 Dec 23.","Thornton C","Trends Cogn Sci","2010","2009/12/26","","","10.1016/j.tics.2009.11.010"
"35963034","The ultimate trick?: Comment on: ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja et al","Friston K.","Phys Life Rev. 2022 Dec;43:10-16. doi: 10.1016/j.plrev.2022.07.007. Epub 2022 Aug 3.","Friston K","Phys Life Rev","2022","2022/08/13","","","10.1016/j.plrev.2022.07.007"
"36150310","Co-constructing Markov blankets: Tricky solutions: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al","van Es T, Hipólito I.","Phys Life Rev. 2022 Dec;43:29-31. doi: 10.1016/j.plrev.2022.09.001. Epub 2022 Sep 13.","van Es T","Phys Life Rev","2022","2022/09/23","","","10.1016/j.plrev.2022.09.001"
"36403386","One person's modus ponens…: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja and colleagues (2021)","Ramstead MJD.","Phys Life Rev. 2022 Dec;43:305-307. doi: 10.1016/j.plrev.2022.11.001. Epub 2022 Nov 11.","Ramstead MJD","Phys Life Rev","2022","2022/11/20","","","10.1016/j.plrev.2022.11.001"
"36029603","The nonequilibrium boundaries of living systems: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by V. Raja et al","Aguilera M.","Phys Life Rev. 2022 Dec;43:23-25. doi: 10.1016/j.plrev.2022.08.002. Epub 2022 Aug 18.","Aguilera M","Phys Life Rev","2022","2022/08/27","","","10.1016/j.plrev.2022.08.002"
"34968557","Active inference leads to Bayesian neurophysiology","Isomura T.","Neurosci Res. 2022 Feb;175:38-45. doi: 10.1016/j.neures.2021.12.003. Epub 2021 Dec 27.","Isomura T","Neurosci Res","2022","2021/12/30","","","10.1016/j.neures.2021.12.003"
"31757601","A simple theory of every 'thing'","Hipolito I.","Phys Life Rev. 2019 Dec;31:79-85. doi: 10.1016/j.plrev.2019.10.006. Epub 2019 Oct 25.","Hipolito I","Phys Life Rev","2019","2019/11/24","","","10.1016/j.plrev.2019.10.006"
"35617921","Some minimal notes on notation and minima: A comment on ""How particular is the physics of the free energy principle?"" by Aguilera, Millidge, Tschantz, and Buckley","Ramstead MJD, Sakthivadivel DAR.","Phys Life Rev. 2022 Sep;42:4-7. doi: 10.1016/j.plrev.2022.05.005. Epub 2022 May 16.","Ramstead MJD","Phys Life Rev","2022","2022/05/26","","","10.1016/j.plrev.2022.05.005"
"29038652","Hierarchical Recursive Organization and the Free Energy Principle: From Biological Self-Organization to the Psychoanalytic Mind","Connolly P, van Deventer V.","Front Psychol. 2017 Sep 26;8:1695. doi: 10.3389/fpsyg.2017.01695. eCollection 2017.","Connolly P","Front Psychol","2017","2017/10/18","PMC5623195","","10.3389/fpsyg.2017.01695"
"35069133","The Energy Homeostasis Principle: A Naturalistic Approach to Explain the Emergence of Behavior","Vicencio-Jimenez S, Villalobos M, Maldonado PE, Vergara RC.","Front Syst Neurosci. 2022 Jan 6;15:782781. doi: 10.3389/fnsys.2021.782781. eCollection 2021.","Vicencio-Jimenez S","Front Syst Neurosci","2022","2022/01/24","PMC8770284","","10.3389/fnsys.2021.782781"
"31221820","REBUS and the Anarchic Brain: Toward a Unified Model of the Brain Action of Psychedelics","Carhart-Harris RL, Friston KJ.","Pharmacol Rev. 2019 Jul;71(3):316-344. doi: 10.1124/pr.118.017160.","Carhart-Harris RL","Pharmacol Rev","2019","2019/06/22","PMC6588209","","10.1124/pr.118.017160"
"36172781","Who tailors the blanket?","Suzuki K, Miyahara K, Miyazono K.","Behav Brain Sci. 2022 Sep 29;45:e213. doi: 10.1017/S0140525X22000206.","Suzuki K","Behav Brain Sci","2022","2022/09/29","","","10.1017/S0140525X22000206"
"29307787","The free energy principle and autopoiesis: Comment on ""Answering Schrödinger's question: A free-energy formulation"" by Maxwell James Désormeau Ramstead, Paul Benjamin Badcock, Karl John Friston","Bitbol M, Gallagher S.","Phys Life Rev. 2018 Mar;24:24-26. doi: 10.1016/j.plrev.2017.12.011. Epub 2018 Jan 4.","Bitbol M","Phys Life Rev","2018","2018/01/09","","","10.1016/j.plrev.2017.12.011"
"26213122","Free energy minimization and information gain: The devil is in the details","Kwisthout J, van Rooij I.","Cogn Neurosci. 2015;6(4):216-8. doi: 10.1080/17588928.2015.1051014. Epub 2015 Jul 27.","Kwisthout J","Cogn Neurosci","2015","2015/07/28","","","10.1080/17588928.2015.1051014"
"37372272","Models of the Translation Process and the Free Energy Principle","Carl M.","Entropy (Basel). 2023 Jun 12;25(6):928. doi: 10.3390/e25060928.","Carl M","Entropy (Basel)","2023","2023/06/28","PMC10296977","","10.3390/e25060928"
