PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38755514","Predictive Processing and the Pathophysiology of Functional Neurological Disorder","Jungilligens J, Perez DL.","Curr Top Behav Neurosci. 2024 May 17. doi: 10.1007/7854_2024_473. Online ahead of print.","Jungilligens J","Curr Top Behav Neurosci","2024","2024/05/16","","","10.1007/7854_2024_473"
"38735269","Why Paleolithic Rockstars were both enigmatic and sporadic: A comment on: 'Snakes and Ladders' in paleoanthropology: From cognitive surprise to skillfulness a million years ago","Tickles D, Friedman DA.","Phys Life Rev. 2024 May 2;50:4-6. doi: 10.1016/j.plrev.2024.04.010. Online ahead of print.","Tickles D","Phys Life Rev","2024","2024/05/12","","","10.1016/j.plrev.2024.04.010"
"38689714","Bayesian brain computing and the free-energy principle: an interview with Karl Friston","Lu W.","Natl Sci Rev. 2024 Jan 17;11(5):nwae025. doi: 10.1093/nsr/nwae025. eCollection 2024 May.","Lu W","Natl Sci Rev","2024","2024/05/01","PMC11060478","","10.1093/nsr/nwae025"
"38353846","A new perspective on positive symptoms: expression of damage or self-defence mechanism of the brain?","Antonioni A, Raho EM, Sensi M, Di Lorenzo F, Fadiga L, Koch G.","Neurol Sci. 2024 May;45(5):2347-2351. doi: 10.1007/s10072-024-07395-x. Epub 2024 Feb 14.","Antonioni A","Neurol Sci","2024","2024/02/14","PMC11021333","","10.1007/s10072-024-07395-x"
"38018026","Active Inference With Empathy Mechanism for Socially Behaved Artificial Agents in Diverse Situations","Matsumura T, Esaki K, Yang S, Yoshimura C, Mizuno H.","Artif Life. 2024 May 1;30(2):277-297. doi: 10.1162/artl_a_00416.","Matsumura T","Artif Life","2024","2023/11/29","","","10.1162/artl_a_00416"
"38785613","Minimizing Entropy and Complexity in Creative Production from Emergent Pragmatics to Action Semantics","Fox S.","Entropy (Basel). 2024 Apr 26;26(5):364. doi: 10.3390/e26050364.","Fox S","Entropy (Basel)","2024","2024/05/24","PMC11119173","","10.3390/e26050364"
"38736532","Imagination vs. routines: festive time, weekly time, and the predictive brain","Bortolotti A, Conti A, Romagnoli A, Sacco PL.","Front Hum Neurosci. 2024 Apr 26;18:1357354. doi: 10.3389/fnhum.2024.1357354. eCollection 2024.","Bortolotti A","Front Hum Neurosci","2024","2024/05/13","PMC11082368","","10.3389/fnhum.2024.1357354"
"38630721","Collective behavior from surprise minimization","Heins C, Millidge B, Da Costa L, Mann RP, Friston KJ, Couzin ID.","Proc Natl Acad Sci U S A. 2024 Apr 23;121(17):e2320239121. doi: 10.1073/pnas.2320239121. Epub 2024 Apr 17.","Heins C","Proc Natl Acad Sci U S A","2024","2024/04/17","PMC11046639","","10.1073/pnas.2320239121"
"38457757","An Overview of the Free Energy Principle and Related Research","Zhang Z, Xu F.","Neural Comput. 2024 Apr 23;36(5):963-1021. doi: 10.1162/neco_a_01642.","Zhang Z","Neural Comput","2024","2024/03/08","","","10.1162/neco_a_01642"
"38562605","Feeling our place in the world: an active inference account of self-esteem","Albarracin M, Bouchard-Joly G, Sheikhbahaee Z, Miller M, Pitliya RJ, Poirier P.","Neurosci Conscious. 2024 Apr 1;2024(1):niae007. doi: 10.1093/nc/niae007. eCollection 2024.","Albarracin M","Neurosci Conscious","2024","2024/04/02","PMC10984624","","10.1093/nc/niae007"
"38528782","Neural representation in active inference: Using generative models to interact with-and understand-the lived world","Pezzulo G, D'Amato L, Mannella F, Priorelli M, Van de Maele T, Stoianov IP, Friston K.","Ann N Y Acad Sci. 2024 Apr;1534(1):45-68. doi: 10.1111/nyas.15118. Epub 2024 Mar 25.","Pezzulo G","Ann N Y Acad Sci","2024","2024/03/26","","","10.1111/nyas.15118"
"38667857","Shared Protentions in Multi-Agent Active Inference","Albarracin M, Pitliya RJ, St Clere Smithe T, Friedman DA, Friston K, Ramstead MJD.","Entropy (Basel). 2024 Mar 29;26(4):303. doi: 10.3390/e26040303.","Albarracin M","Entropy (Basel)","2024","2024/04/26","PMC11049075","","10.3390/e26040303"
"38667842","Markov Blankets and Mirror Symmetries-Free Energy Minimization and Mesocortical Anatomy","Wright J, Bourke P.","Entropy (Basel). 2024 Mar 27;26(4):287. doi: 10.3390/e26040287.","Wright J","Entropy (Basel)","2024","2024/04/26","PMC11049374","","10.3390/e26040287"
"38576893","Resolving uncertainty on the fly: modeling adaptive driving behavior as active inference","Engström J, Wei R, McDonald AD, Garcia A, O'Kelly M, Johnson L.","Front Neurorobot. 2024 Mar 21;18:1341750. doi: 10.3389/fnbot.2024.1341750. eCollection 2024.","Engström J","Front Neurorobot","2024","2024/04/05","PMC10991681","","10.3389/fnbot.2024.1341750"
"38457764","Object-Centric Scene Representations Using Active Inference","Van de Maele T, Verbelen T, Mazzaglia P, Ferraro S, Dhoedt B.","Neural Comput. 2024 Mar 21;36(4):677-704. doi: 10.1162/neco_a_01637.","Van de Maele T","Neural Comput","2024","2024/03/08","","","10.1162/neco_a_01637"
"38504827","Arousal coherence, uncertainty, and well-being: an active inference account","Biddell H, Solms M, Slagter H, Laukkonen R.","Neurosci Conscious. 2024 Mar 19;2024(1):niae011. doi: 10.1093/nc/niae011. eCollection 2024.","Biddell H","Neurosci Conscious","2024","2024/03/20","PMC10949961","","10.1093/nc/niae011"
"38504826","Digital Being: social media and the predictive mind","White B, Clark A, Miller M.","Neurosci Conscious. 2024 Mar 18;2024(1):niae008. doi: 10.1093/nc/niae008. eCollection 2024.","White B","Neurosci Conscious","2024","2024/03/20","PMC10949958","","10.1093/nc/niae008"
"38510309","The police hunch: the Bayesian brain, active inference, and the free energy principle in action","Stubbs G, Friston K.","Front Psychol. 2024 Mar 6;15:1368265. doi: 10.3389/fpsyg.2024.1368265. eCollection 2024.","Stubbs G","Front Psychol","2024","2024/03/21","PMC10951090","","10.3389/fpsyg.2024.1368265"
"38350304","Physical reasoning is the missing link between action goals and kinematics: A comment on ""An active inference model of hierarchical action understanding, learning, and imitation"" by Proietti et al","Fischer J.","Phys Life Rev. 2024 Mar;48:198-200. doi: 10.1016/j.plrev.2023.08.017. Epub 2023 Sep 1.","Fischer J","Phys Life Rev","2024","2024/02/13","","","10.1016/j.plrev.2023.08.017"
"38103984","An active inference perspective for the amygdala complex","Sladky R, Kargl D, Haubensak W, Lamm C.","Trends Cogn Sci. 2024 Mar;28(3):223-236. doi: 10.1016/j.tics.2023.11.004. Epub 2023 Dec 15.","Sladky R","Trends Cogn Sci","2024","2023/12/16","","","10.1016/j.tics.2023.11.004"
"38081100","Classification of particles with respect to active inference properties as a path towards formalizing agency Comment on ""Path integrals, particular kinds, and strange things"" by K. Friston, L. Da Costa, D. A. R. Sakthivadivel, C. Heins, G. A. Pavliotis, M. Ramstead, T. Parr","Kuchling F.","Phys Life Rev. 2024 Mar;48:31-32. doi: 10.1016/j.plrev.2023.11.015. Epub 2023 Nov 29.","Kuchling F","Phys Life Rev","2024","2023/12/11","","","10.1016/j.plrev.2023.11.015"
"38348334","Pain suffering and the self. An active allostatic inference explanation","Gerrans P.","Neurosci Conscious. 2024 Feb 8;2024(1):niae002. doi: 10.1093/nc/niae002. eCollection 2024.","Gerrans P","Neurosci Conscious","2024","2024/02/13","PMC10860504","","10.1093/nc/niae002"
"38185265","Migraine as an allostatic reset triggered by unresolved interoceptive prediction errors","Sedley W, Kumar S, Jones S, Levy A, Friston K, Griffiths T, Goldsmith P.","Neurosci Biobehav Rev. 2024 Feb;157:105536. doi: 10.1016/j.neubiorev.2024.105536. Epub 2024 Jan 6.","Sedley W","Neurosci Biobehav Rev","2024","2024/01/07","","","10.1016/j.neubiorev.2024.105536"
"38182015","Active inference as a theory of sentient behavior","Pezzulo G, Parr T, Friston K.","Biol Psychol. 2024 Feb;186:108741. doi: 10.1016/j.biopsycho.2023.108741. Epub 2024 Jan 3.","Pezzulo G","Biol Psychol","2024","2024/01/05","","","10.1016/j.biopsycho.2023.108741"
"38176631","To be or not to be: The active inference of suicide","Krupnik V, Danilova N.","Neurosci Biobehav Rev. 2024 Feb;157:105531. doi: 10.1016/j.neubiorev.2023.105531. Epub 2024 Jan 3.","Krupnik V","Neurosci Biobehav Rev","2024","2024/01/04","","","10.1016/j.neubiorev.2023.105531"
"38030100","The empirical status of predictive coding and active inference","Hodson R, Mehta M, Smith R.","Neurosci Biobehav Rev. 2024 Feb;157:105473. doi: 10.1016/j.neubiorev.2023.105473. Epub 2023 Nov 28.","Hodson R","Neurosci Biobehav Rev","2024","2023/11/29","","","10.1016/j.neubiorev.2023.105473"
"37973519","Generating meaning: active inference and the scope and limits of passive AI","Pezzulo G, Parr T, Cisek P, Clark A, Friston K.","Trends Cogn Sci. 2024 Feb;28(2):97-112. doi: 10.1016/j.tics.2023.10.002. Epub 2023 Nov 15.","Pezzulo G","Trends Cogn Sci","2024","2023/11/16","","","10.1016/j.tics.2023.10.002"
"38104605","Cultivating creativity: predictive brains and the enlightened room problem","Constant A, Friston KJ, Clark A.","Philos Trans R Soc Lond B Biol Sci. 2024 Jan 29;379(1895):20220415. doi: 10.1098/rstb.2022.0415. Epub 2023 Dec 18.","Constant A","Philos Trans R Soc Lond B Biol Sci","2024","2023/12/17","PMC10725762","","10.1098/rstb.2022.0415"
"38104600","Order and change in art: towards an active inference account of aesthetic experience","Van de Cruys S, Frascaroli J, Friston K.","Philos Trans R Soc Lond B Biol Sci. 2024 Jan 29;379(1895):20220411. doi: 10.1098/rstb.2022.0411. Epub 2023 Dec 18.","Van de Cruys S","Philos Trans R Soc Lond B Biol Sci","2024","2023/12/17","PMC10725768","","10.1098/rstb.2022.0411"
"38322807","I like therefore I can, and I can therefore I like: the role of self-efficacy and affect in active inference of allostasis","Krupnik V.","Front Neural Circuits. 2024 Jan 22;18:1283372. doi: 10.3389/fncir.2024.1283372. eCollection 2024.","Krupnik V","Front Neural Circuits","2024","2024/02/07","PMC10839114","","10.3389/fncir.2024.1283372"
"38248208","Spatial and Temporal Hierarchy for Autonomous Navigation Using Active Inference in Minigrid Environment","de Tinguy D, Van de Maele T, Verbelen T, Dhoedt B.","Entropy (Basel). 2024 Jan 18;26(1):0. doi: 10.3390/e26010083.","de Tinguy D","Entropy (Basel)","2024","2024/01/22","PMC11154534","","10.3390/e26010083"
"38044461","From active affordance to active inference: vertical integration of cognition in the cerebral cortex through dual subcortical control systems","Luu P, Tucker DM, Friston K.","Cereb Cortex. 2024 Jan 14;34(1):bhad458. doi: 10.1093/cercor/bhad458.","Luu P","Cereb Cortex","2024","2023/12/03","","","10.1093/cercor/bhad458"
"37950879","Bistable perception, precision and neuromodulation","Novicky F, Parr T, Friston K, Mirza MB, Sajid N.","Cereb Cortex. 2024 Jan 14;34(1):bhad401. doi: 10.1093/cercor/bhad401.","Novicky F","Cereb Cortex","2024","2023/11/11","PMC10793076","","10.1093/cercor/bhad401"
"38706520","Natural language syntax complies with the free-energy principle","Murphy E, Holmes E, Friston K.","Synthese. 2024;203(5):154. doi: 10.1007/s11229-024-04566-3. Epub 2024 May 3.","Murphy E","Synthese","2024","2024/05/06","PMC11068586","","10.1007/s11229-024-04566-3"
"38056542","Federated inference and belief sharing","Friston KJ, Parr T, Heins C, Constant A, Friedman D, Isomura T, Fields C, Verbelen T, Ramstead M, Clippinger J, Frith CD.","Neurosci Biobehav Rev. 2024 Jan;156:105500. doi: 10.1016/j.neubiorev.2023.105500. Epub 2023 Dec 5.","Friston KJ","Neurosci Biobehav Rev","2024","2023/12/06","PMC11139662","","10.1016/j.neubiorev.2023.105500"
"38007168","Interoceptive technologies for psychiatric interventions: From diagnosis to clinical applications","Schoeller F, Horowitz AH, Jain A, Maes P, Reggente N, Christov-Moore L, Pezzulo G, Barca L, Allen M, Salomon R, Miller M, Di Lernia D, Riva G, Tsakiris M, Chalah MA, Klein A, Zhang B, Garcia T, Pollack U, Trousselard M, Verdonk C, Dumas G, Adrien V, Friston K.","Neurosci Biobehav Rev. 2024 Jan;156:105478. doi: 10.1016/j.neubiorev.2023.105478. Epub 2023 Nov 23.","Schoeller F","Neurosci Biobehav Rev","2024","2023/11/25","","","10.1016/j.neubiorev.2023.105478"
"37678710","Does Active Inference Provide a Comprehensive Theory of Placebo Analgesia?","Milde C, Brinskelle LS, Glombiewski JA.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2024 Jan;9(1):10-20. doi: 10.1016/j.bpsc.2023.08.007. Epub 2023 Sep 9.","Milde C","Biol Psychiatry Cogn Neurosci Neuroimaging","2024","2023/09/07","","","10.1016/j.bpsc.2023.08.007"
"38158882","Nested Selves: Self-Organization and Shared Markov Blankets in Prenatal Development in Humans","Ciaunica A, Levin M, Rosas FE, Friston K.","Top Cogn Sci. 2023 Dec 30. doi: 10.1111/tops.12717. Online ahead of print.","Ciaunica A","Top Cogn Sci","2023","2023/12/30","","","10.1111/tops.12717"
"38085784","Deep kinematic inference affords efficient and scalable control of bodily movements","Priorelli M, Pezzulo G, Stoianov IP.","Proc Natl Acad Sci U S A. 2023 Dec 19;120(51):e2309058120. doi: 10.1073/pnas.2309058120. Epub 2023 Dec 12.","Priorelli M","Proc Natl Acad Sci U S A","2023","2023/12/12","PMC10743426","","10.1073/pnas.2309058120"
"38079006","Action imagery as active inference: a commentary on Rieger et al. (2023)","Immink MA, Corcoran AW.","Psychol Res. 2023 Dec 11. doi: 10.1007/s00426-023-01900-1. Online ahead of print.","Immink MA","Psychol Res","2023","2023/12/11","","","10.1007/s00426-023-01900-1"
"37984119","A guided tour through the spaces of particular ""minds"": A Comment on ""Path integrals, particular kinds, and strange things""","Rahmjoo A, Friedman DA.","Phys Life Rev. 2023 Dec;47:271-272. doi: 10.1016/j.plrev.2023.11.001. Epub 2023 Nov 7.","Rahmjoo A","Phys Life Rev","2023","2023/11/20","","","10.1016/j.plrev.2023.11.001"
"37979401","Strange things, statespace representation, and participatory realism Comment on ""Path Integrals, Particular Kinds, and Strange Things."" by Friston et al","Guénin-Carlut A.","Phys Life Rev. 2023 Dec;47:268-270. doi: 10.1016/j.plrev.2023.10.027. Epub 2023 Oct 20.","Guénin-Carlut A","Phys Life Rev","2023","2023/11/18","","","10.1016/j.plrev.2023.10.027"
"37708816","Studying the hierarchy of actions from motor primitives: Comment on ""An active inference model of hierarchical action understanding, learning and imitation""","D'Ausilio A, Tomassini A.","Phys Life Rev. 2023 Dec;47:63-65. doi: 10.1016/j.plrev.2023.08.019. Epub 2023 Sep 4.","D'Ausilio A","Phys Life Rev","2023","2023/09/14","","","10.1016/j.plrev.2023.08.019"
"37651760","Visual context drives uncertainty-reduction and novelty-seeking exploration during action understanding: Comment on: ""An active inference model of hierarchical action understanding, learning, and imitation"" by Riccardo Proietti, Giovanni Pezzulo and Alessia Tessari","Kalénine S.","Phys Life Rev. 2023 Dec;47:6-8. doi: 10.1016/j.plrev.2023.08.011. Epub 2023 Aug 19.","Kalénine S","Phys Life Rev","2023","2023/08/31","","","10.1016/j.plrev.2023.08.011"
"37963020","Predictability alters information flow during action observation in human electrocorticographic activity","Qin C, Michon F, Onuki Y, Ishishita Y, Otani K, Kawai K, Fries P, Gazzola V, Keysers C.","Cell Rep. 2023 Nov 28;42(11):113432. doi: 10.1016/j.celrep.2023.113432. Epub 2023 Nov 14.","Qin C","Cell Rep","2023","2023/11/14","","","10.1016/j.celrep.2023.113432"
"38028726","Modeling and controlling the body in maladaptive ways: an active inference perspective on non-suicidal self-injury behaviors","Laura B, Maisto D, Pezzulo G.","Neurosci Conscious. 2023 Nov 27;2023(1):niad025. doi: 10.1093/nc/niad025. eCollection 2023.","Laura B","Neurosci Conscious","2023","2023/11/29","PMC10681710","","10.1093/nc/niad025"
"38028727","Special Issue: Experiencing Well-BeingPlayfulness and the meaningful life: an active inference perspective","Kiverstein J, Miller M.","Neurosci Conscious. 2023 Nov 18;2023(1):niad024. doi: 10.1093/nc/niad024. eCollection 2023.","Kiverstein J","Neurosci Conscious","2023","2023/11/29","PMC10656941","","10.1093/nc/niad024"
"38034070","Action-rule-based cognitive control enables efficient execution of stimulus-response conflict tasks: a model validation of Simon task performance","Otani Y, Katagiri Y, Imai E, Kowa H.","Front Hum Neurosci. 2023 Nov 16;17:1239207. doi: 10.3389/fnhum.2023.1239207. eCollection 2023.","Otani Y","Front Hum Neurosci","2023","2023/11/30","PMC10687480","","10.3389/fnhum.2023.1239207"
"37741517","Hierarchical network structure as the source of hierarchical dynamics (power-law frequency spectra) in living and non-living systems: How state-trait continua (body plans, personalities) emerge from first principles in biophysics","Goekoop R, de Kleijn R.","Neurosci Biobehav Rev. 2023 Nov;154:105402. doi: 10.1016/j.neubiorev.2023.105402. Epub 2023 Sep 22.","Goekoop R","Neurosci Biobehav Rev","2023","2023/09/23","","","10.1016/j.neubiorev.2023.105402"
"37717307","Active learning impairments in substance use disorders when resolving the explore-exploit dilemma: A replication and extension of previous computational modeling results","Taylor S, Lavalley CA, Hakimi N, Stewart JL, Ironside M, Zheng H, White E, Guinjoan S, Paulus MP, Smith R.","Drug Alcohol Depend. 2023 Nov 1;252:110945. doi: 10.1016/j.drugalcdep.2023.110945. Epub 2023 Aug 25.","Taylor S","Drug Alcohol Depend","2023","2023/09/17","PMC10635739","NIHMS1932875","10.1016/j.drugalcdep.2023.110945"
"37421540","Analgesia for the Bayesian Brain: How Predictive Coding Offers Insights Into the Subjectivity of Pain","Lersch FE, Frickmann FCS, Urman RD, Burgermeister G, Siercks K, Luedi MM, Straumann S.","Curr Pain Headache Rep. 2023 Nov;27(11):631-638. doi: 10.1007/s11916-023-01122-5. Epub 2023 Jul 8.","Lersch FE","Curr Pain Headache Rep","2023","2023/07/08","PMC10713672","","10.1007/s11916-023-01122-5"
"36063311","Investigating how Explicit Contextual Cues Affect Predictive Sensorimotor Control in Autistic Adults","Arthur T, Brosnan M, Harris D, Buckingham G, Wilson M, Williams G, Vine S.","J Autism Dev Disord. 2023 Nov;53(11):4368-4381. doi: 10.1007/s10803-022-05718-5. Epub 2022 Sep 5.","Arthur T","J Autism Dev Disord","2023","2022/09/05","PMC10539449","","10.1007/s10803-022-05718-5"
"37998198","Incremental Learning of Goal-Directed Actions in a Dynamic Environment by a Robot Using Active Inference","Matsumoto T, Ohata W, Tani J.","Entropy (Basel). 2023 Oct 31;25(11):1506. doi: 10.3390/e25111506.","Matsumoto T","Entropy (Basel)","2023","2023/11/24","PMC10670890","","10.3390/e25111506"
"37899002","An Introduction to Predictive Processing Models of Perception and Decision-Making","Sprevak M, Smith R.","Top Cogn Sci. 2023 Oct 29. doi: 10.1111/tops.12704. Online ahead of print.","Sprevak M","Top Cogn Sci","2023","2023/10/29","","","10.1111/tops.12704"
"37891803","The Projective Consciousness Model: Projective Geometry at the Core of Consciousness and the Integration of Perception, Imagination, Motivation, Emotion, Social Cognition and Action","Rudrauf D, Sergeant-Perthuis G, Tisserand Y, Poloudenny G, Williford K, Amorim MA.","Brain Sci. 2023 Oct 9;13(10):1435. doi: 10.3390/brainsci13101435.","Rudrauf D","Brain Sci","2023","2023/10/28","PMC10605889","","10.3390/brainsci13101435"
"37885904","Myth of objectivity and the origin of symbols","Rahman S.","Front Sociol. 2023 Oct 9;8:1269621. doi: 10.3389/fsoc.2023.1269621. eCollection 2023.","Rahman S","Front Sociol","2023","2023/10/27","PMC10598666","","10.3389/fsoc.2023.1269621"
"37849480","The osteopath-parent-child triad in osteopathic care in the first 2 years of life: a qualitative study","Accardi C, Cerritelli F, Bovo L, Esteves JE.","Front Psychol. 2023 Oct 2;14:1253355. doi: 10.3389/fpsyg.2023.1253355. eCollection 2023.","Accardi C","Front Psychol","2023","2023/10/18","PMC10577191","","10.3389/fpsyg.2023.1253355"
"37776599","Relative fluency (unfelt vs felt) in active inference","Brouillet D, Friston K.","Conscious Cogn. 2023 Oct;115:103579. doi: 10.1016/j.concog.2023.103579. Epub 2023 Sep 28.","Brouillet D","Conscious Cogn","2023","2023/09/30","","","10.1016/j.concog.2023.103579"
"37598874","Insight and the selection of ideas","Laukkonen RE, Webb M, Salvi C, Tangen JM, Slagter HA, Schooler JW.","Neurosci Biobehav Rev. 2023 Oct;153:105363. doi: 10.1016/j.neubiorev.2023.105363. Epub 2023 Aug 19.","Laukkonen RE","Neurosci Biobehav Rev","2023","2023/08/20","","","10.1016/j.neubiorev.2023.105363"
"37478889","The interpersonal computational psychiatry of social coordination in schizophrenia","Pan Y, Wen Y, Jin J, Chen J.","Lancet Psychiatry. 2023 Oct;10(10):801-808. doi: 10.1016/S2215-0366(23)00146-3. Epub 2023 Jul 18.","Pan Y","Lancet Psychiatry","2023","2023/07/21","","","10.1016/S2215-0366(23)00146-3"
"36937547","Mental health meets computational neuroscience: A predictive Bayesian account of the relationship between interoception and multisensory bodily illusions in anorexia nervosa","Lernia DD, Serino S, Tuena C, Cacciatore C, Polli N, Riva G.","Int J Clin Health Psychol. 2023 Oct-Dec;23(4):100383. doi: 10.1016/j.ijchp.2023.100383. Epub 2023 Mar 7.","Lernia DD","Int J Clin Health Psychol","2023","2023/03/20","PMC10017360","","10.1016/j.ijchp.2023.100383"
"37841675","Editorial: Temporal structure of neural processes coupling sensory, motor and cognitive functions of the brain, volume II","Gupta DS, Banerjee A, Piras F, Roy D.","Front Comput Neurosci. 2023 Sep 27;17:1291744. doi: 10.3389/fncom.2023.1291744. eCollection 2023.","Gupta DS","Front Comput Neurosci","2023","2023/10/16","PMC10569581","","10.3389/fncom.2023.1291744"
"37754196","Active Vision in Binocular Depth Estimation: A Top-Down Perspective","Priorelli M, Pezzulo G, Stoianov IP.","Biomimetics (Basel). 2023 Sep 21;8(5):445. doi: 10.3390/biomimetics8050445.","Priorelli M","Biomimetics (Basel)","2023","2023/09/27","PMC10526497","","10.3390/biomimetics8050445"
"37695796","Testing predictive coding theories of autism spectrum disorder using models of active inference","Arthur T, Vine S, Buckingham G, Brosnan M, Wilson M, Harris D.","PLoS Comput Biol. 2023 Sep 11;19(9):e1011473. doi: 10.1371/journal.pcbi.1011473. eCollection 2023 Sep.","Arthur T","PLoS Comput Biol","2023","2023/09/11","PMC10529610","","10.1371/journal.pcbi.1011473"
"37694720","Body as First Teacher: The Role of Rhythmic Visceral Dynamics in Early Cognitive Development","Corcoran AW, Perrykkad K, Feuerriegel D, Robinson JE.","Perspect Psychol Sci. 2023 Sep 11:17456916231185343. doi: 10.1177/17456916231185343. Online ahead of print.","Corcoran AW","Perspect Psychol Sci","2023","2023/09/11","","","10.1177/17456916231185343"
"37658039","Neural tuning instantiates prior expectations in the human visual system","Harrison WJ, Bays PM, Rideaux R.","Nat Commun. 2023 Sep 1;14(1):5320. doi: 10.1038/s41467-023-41027-w.","Harrison WJ","Nat Commun","2023","2023/09/01","PMC10474129","","10.1038/s41467-023-41027-w"
