,title,authors,where_published,year,doi
99,Cultured Cortical Neurons Can Perform Blind Source Separation According to the Free-Energy Principle,"Isomura T, Kotani K, Jimbo Y.",PLoS Comput Biol,2015,10.1371/journal.pcbi.1004643
100,Understanding brain functional architecture through robotics,"Prescott TJ, Wilson SP.",Sci Robot,2023,10.1126/scirobotics.adg6014
101,World model learning and inference,"Friston K, Moran RJ, Nagai Y, Taniguchi T, Gomi H, Tenenbaum J.",Neural Netw,2021,10.1016/j.neunet.2021.09.011
102,The history of the future of the Bayesian brain,Friston K.,Neuroimage,2012,10.1016/j.neuroimage.2011.10.004
103,"A tale of two architectures: Free energy, its models, and modularity",Beni MD.,Conscious Cogn,2022,10.1016/j.concog.2021.103257
104,"The mesoanatomy of the cortex, minimization of free energy, and generative cognition","Wright JJ, Bourke PD.",Front Comput Neurosci,2023,10.3389/fncom.2023.1169772
105,A variational approach to niche construction,"Constant A, Ramstead MJD, Veissière SPL, Campbell JO, Friston KJ.",J R Soc Interface,2018,10.1098/rsif.2017.0685
106,"Situated models and the modeler: A comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Raja, Valluri, Baggs, Chemero and Anderson","Albarracin M, Pitliya RJ.",Phys Life Rev,2022,10.1016/j.plrev.2022.07.003
107,Variational Free Energy and Economics Optimizing With Biases and Bounded Rationality,Henriksen M.,Front Psychol,2020,10.3389/fpsyg.2020.549187
108,Editorial: Enactivism and active inference in the therapeutic alliance,"Duquette P, Cerritelli F, Esteves JE.",Front Psychol,2022,10.3389/fpsyg.2022.1042698
109,Action and behavior: a free-energy formulation,"Friston KJ, Daunizeau J, Kilner J, Kiebel SJ.",Biol Cybern,2010,10.1007/s00422-010-0364-z
110,"Markov border crossings: Comment on ""The Markov blanket trick: On the scope of the free energy principle and active inference"" by Vicente Raja et al",Di Paolo EA.,Phys Life Rev,2022,10.1016/j.plrev.2022.07.006
111,The Emperor's New Markov Blankets,"Bruineberg J, Dołęga K, Dewhurst J, Baltieri M.",Behav Brain Sci,2021,10.1017/S0140525X21002351
112,Stochastic surprisal: An inferential measurement of free energy in neural networks,"Prabhushankar M, AlRegib G.",Front Neurosci,2023,10.3389/fnins.2023.926418
113,"Critique of pure free energy principle: Comment on ""Answering Schrödinger's question: A free-energy formulation"" by Maxwell James Désormeau Ramstead et al","Tozzi A, Peters JF.",Phys Life Rev,2018,10.1016/j.plrev.2017.10.003
114,In vitro neural networks minimise variational free energy,"Isomura T, Friston K.",Sci Rep,2018,10.1038/s41598-018-35221-w
115,A heuristic perspective on non-variational free energy modulation at the sleep-like edge,"Fernandez-Leon JA, Acosta G.",Biosystems,2021,10.1016/j.biosystems.2021.104466
116,Hyperactivity of the default mode network in schizophrenia and free energy: A dialogue between Freudian theory of psychosis and neuroscience,"Tran The J, Ansermet JP, Magistretti PJ, Ansermet F.",Front Hum Neurosci,2022,10.3389/fnhum.2022.956831
117,"Free-energy pragmatics: Markov blankets don't prescribe objective ontology, and that's okay","Hipólito I, van Es T.",Behav Brain Sci,2022,10.1017/S0140525X22000322
118,Active inference on discrete state-spaces: A synthesis,"Da Costa L, Parr T, Sajid N, Veselic S, Neacsu V, Friston K.",J Math Psychol,2020,10.1016/j.jmp.2020.102447
119,"Free energy, precision and learning: the role of cholinergic neuromodulation","Moran RJ, Campo P, Symmonds M, Stephan KE, Dolan RJ, Friston KJ.",J Neurosci,2013,10.1523/JNEUROSCI.4255-12.2013
120,Variational ecology and the physics of sentient systems,"Ramstead MJD, Constant A, Badcock PB, Friston KJ.",Phys Life Rev,2019,10.1016/j.plrev.2018.12.002
121,Deep active inference,Ueltzhöffer K.,Biol Cybern,2018,10.1007/s00422-018-0785-7
122,"Exploration, novelty, surprise, and free energy minimization","Schwartenbeck P, Fitzgerald T, Dolan RJ, Friston K.",Front Psychol,2013,10.3389/fpsyg.2013.00710
123,The Depressed Brain: An Evolutionary Systems Theory,"Badcock PB, Davey CG, Whittle S, Allen NB, Friston KJ.",Trends Cogn Sci,2017,10.1016/j.tics.2017.01.005
124,A Variational Approach to Scripts,"Albarracin M, Constant A, Friston KJ, Ramstead MJD.",Front Psychol,2021,10.3389/fpsyg.2021.585493
125,An integrative explanation of action,Beni MD.,Biosystems,2020,10.1016/j.biosystems.2020.104266
126,Predictive Processing in Cognitive Robotics: A Review,"Ciria A, Schillaci G, Pezzulo G, Hafner VV, Lara B.",Neural Comput,2021,10.1162/neco_a_01383
127,Bayesian mechanics for stationary processes,"Da Costa L, Friston K, Heins C, Pavliotis GA.",Proc Math Phys Eng Sci,2021,10.1098/rspa.2021.0518
128,The Bayesian brain: phantom percepts resolve sensory uncertainty,"De Ridder D, Vanneste S, Freeman W.",Neurosci Biobehav Rev,2014,10.1016/j.neubiorev.2012.04.001
129,Being a Beast Machine: The Somatic Basis of Selfhood,"Seth AK, Tsakiris M.",Trends Cogn Sci,2018,10.1016/j.tics.2018.08.008
130,Piloting the Update: The Use of Therapeutic Relationship for Change - A Free Energy Account,"Hauke G, Lohr C.",Front Psychol,2022,10.3389/fpsyg.2022.842488
131,Interoceptive inference: From computational neuroscience to clinic,"Owens AP, Allen M, Ondobaka S, Friston KJ.",Neurosci Biobehav Rev,2018,10.1016/j.neubiorev.2018.04.017
132,Why Do Individuals Seek Information? A Selectionist Perspective,Borgstede M.,Front Psychol,2021,10.3389/fpsyg.2021.684544
133,"Cognition coming about: Self-organisation and free-energy: Commentary on Wright, J.J. and Bourke, P.D. (2020) ""The growth of cognition: Free energy minimization and the embryogenesis of cortical computation""","Hipólito I, Ramstead M, Constant A, Friston KJ.",Phys Life Rev,2021,10.1016/j.plrev.2020.08.001
134,The Radically Embodied Conscious Cybernetic Bayesian Brain: From Free Energy to Free Will and Back Again,Safron A.,Entropy (Basel),2021,10.3390/e23060783
135,Synchronous Generative Development amidst Situated Entropy,Fox S.,Entropy (Basel),2022,10.3390/e24010089
136,Bayesian theories of consciousness: a review in search for a minimal unifying model,Rorot W.,Neurosci Conscious,2021,10.1093/nc/niab038
137,[Human mirror neuron system],Inui T.,Brain Nerve,2014,
138,Active Inference and Epistemic Value in Graphical Models,"van de Laar T, Koudahl M, van Erp B, de Vries B.",Front Robot AI,2022,10.3389/frobt.2022.794464
139,Multiscale Free Energy Analysis of Human Ecosystem Engineering,Fox S.,Entropy (Basel),2021,10.3390/e23040396
140,"Self-organization, free energy minimization, and optimal grip on a field of affordances","Bruineberg J, Rietveld E.",Front Hum Neurosci,2014,10.3389/fnhum.2014.00599
141,The QBIT Theory of Consciousness,Beshkar M.,Integr Psychol Behav Sci,2020,10.1007/s12124-020-09528-1
142,Dynamical Relations in the Self-Pattern,"Gallagher S, Daly A.",Front Psychol,2018,10.3389/fpsyg.2018.00664
143,Multiscale integration: beyond internalism and externalism,"Ramstead MJD, Kirchhoff MD, Constant A, Friston KJ.",Synthese,2021,10.1007/s11229-019-02115-x
144,New Perspectives on Spontaneous Brain Activity: Dynamic Networks and Energy Matter,"Tozzi A, Zare M, Benasich AA.",Front Hum Neurosci,2016,10.3389/fnhum.2016.00247
145,High-energy brain dynamics during anesthesia-induced unconsciousness,"Riehl JR, Palanca BJ, Ching S.",Netw Neurosci,2017,10.1162/NETN_a_00023
146,Elements of qualitative cognition: An information topology perspective,Baudot P.,Phys Life Rev,2019,10.1016/j.plrev.2019.10.003
147,Why do we fall into sync with others? Interpersonal synchronization and the brain's optimization principle,"Koban L, Ramamoorthy A, Konvalinka I.",Soc Neurosci,2019,10.1080/17470919.2017.1400463
148,A critical analysis of Markovian monism,Beni MD.,Synthese,2021,10.1007/s11229-021-03075-x
149,"Enough blanket metaphysics, time for data-driven heuristics","Rorot W, Korbak T, Litwin P, Miłkowski M.",Behav Brain Sci,2022,10.1017/S0140525X22000280
150,Iterative free-energy optimization for recurrent neural networks (INFERNO),"Pitti A, Gaussier P, Quoy M.",PLoS One,2017,10.1371/journal.pone.0173684
151,"Toward an Embodied, Embedded Predictive Processing Account",Venter E.,Front Psychol,2021,10.3389/fpsyg.2021.543076
152,On the Importance of Being Flexible: Dynamic Brain Networks and Their Potential Functional Significances,"Safron A, Klimaj V, Hipólito I.",Front Syst Neurosci,2022,10.3389/fnsys.2021.688424
153,Morphogenesis as Bayesian inference: A variational approach to pattern formation and control in complex biological systems,"Kuchling F, Friston K, Georgiev G, Levin M.",Phys Life Rev,2020,10.1016/j.plrev.2019.06.001
154,Predictive Processing and the Representation Wars,Williams D.,Minds Mach (Dordr),2018,10.1007/s11023-017-9441-6
155,Predicting green: really radical (plant) predictive processing,"Calvo P, Friston K.",J R Soc Interface,2017,10.1098/rsif.2017.0096
156,Reclaiming saliency: Rhythmic precision-modulated action and perception,"Anil Meera A, Novicky F, Parr T, Friston K, Lanillos P, Sajid N.",Front Neurorobot,2022,10.3389/fnbot.2022.896229
157,On Bayesian mechanics: a physics of and by beliefs,"Ramstead MJD, Sakthivadivel DAR, Heins C, Koudahl M, Millidge B, Da Costa L, Klein B, Friston KJ.",Interface Focus,2023,10.1098/rsfs.2022.0029
158,"The hierarchically mechanistic mind: an evolutionary systems theory of the human brain, cognition, and behavior","Badcock PB, Friston KJ, Ramstead MJD, Ploeger A, Hohwy J.",Cogn Affect Behav Neurosci,2019,10.3758/s13415-019-00721-3
159,Predicting critical transitions in assortative spin-shifting networks,"Füllsack M, Reisinger D, Adam R, Kapeller M, Jäger G.",PLoS One,2023,10.1371/journal.pone.0275183
160,Cognition as Morphological/Morphogenetic Embodied Computation In Vivo,Dodig-Crnkovic G.,Entropy (Basel),2022,10.3390/e24111576
161,"Left and right temporal-parietal junctions (TPJs) as ""match/mismatch"" hedonic machines: A unifying account of TPJ function","Doricchi F, Lasaponara S, Pazzaglia M, Silvetti M.",Phys Life Rev,2022,10.1016/j.plrev.2022.07.001
162,Conflicting emergences. Weak vs. strong emergence for the modelling of brain function,"Turkheimer FE, Hellyer P, Kehagia AA, Expert P, Lord LD, Vohryzek J, De Faria Dafflon J, Brammer M, Leech R.",Neurosci Biobehav Rev,2019,10.1016/j.neubiorev.2019.01.023
163,Scale-Free Biology: Integrating Evolutionary and Developmental Thinking,"Fields C, Levin M.",Bioessays,2020,10.1002/bies.201900228
164,The Predictive Processing Model of EMDR,Chamberlin DE.,Front Psychol,2019,10.3389/fpsyg.2019.02267
165,To copy or not to copy? That is the question! From chimpanzees to the foundation of human technological culture,"Manrique HM, Walker MJ.",Phys Life Rev,2023,10.1016/j.plrev.2023.02.005
166,A Factor Graph Description of Deep Temporal Active Inference,"de Vries B, Friston KJ.",Front Comput Neurosci,2017,10.3389/fncom.2017.00095
167,"Markov blankets, information geometry and stochastic thermodynamics","Parr T, Da Costa L, Friston K.",Philos Trans A Math Phys Eng Sci,2020,10.1098/rsta.2019.0159
168,Cooperation and Social Rules Emerging From the Principle of Surprise Minimization,"Hartwig M, Peters A.",Front Psychol,2021,10.3389/fpsyg.2020.606174
169,The Emperor Is Naked: Replies to commentaries on the target article,"Bruineberg J, Dołęga K, Dewhurst J, Baltieri M.",Behav Brain Sci,2022,10.1017/S0140525X22000656
170,The Active Inference Model of Coherence Therapy,Chamberlin DE.,Front Hum Neurosci,2023,10.3389/fnhum.2022.955558
171,"""Project for a Spatiotemporal Neuroscience"" - Brain and Psyche Share Their Topography and Dynamic","Northoff G, Scalabrini A.",Front Psychol,2021,10.3389/fpsyg.2021.717402
172,Bayesian mechanics of perceptual inference and motor control in the brain,Kim CS.,Biol Cybern,2021,10.1007/s00422-021-00859-9
173,A Measure of Information Available for Inference,Isomura T.,Entropy (Basel),2018,10.3390/e20070512
174,"Making life and mind as clear as possible, but not clearer",Gomez-Marin A.,Behav Brain Sci,2022,10.1017/S0140525X22000127
175,Reinforcement learning or active inference?,"Friston KJ, Daunizeau J, Kiebel SJ.",PLoS One,2009,10.1371/journal.pone.0006421
176,Inference of affordances and active motor control in simulated agents,"Scholz F, Gumbsch C, Otte S, Butz MV.",Front Neurorobot,2022,10.3389/fnbot.2022.881673
