,title,authors,where_published,year,doi
41,Prefrontal Computation as Active Inference,"Parr T, Rikhye RV, Halassa MM, Friston KJ.",Cereb Cortex,2020,10.1093/cercor/bhz118
42,Active inference unifies intentional and conflict-resolution imperatives of motor control,"Maselli A, Lanillos P, Pezzulo G.",PLoS Comput Biol,2022,10.1371/journal.pcbi.1010095
43,Enactive-Dynamic Social Cognition and Active Inference,"Hipólito I, van Es T.",Front Psychol,2022,10.3389/fpsyg.2022.855074
44,Sophisticated Inference,"Friston K, Da Costa L, Hafner D, Hesp C, Parr T.",Neural Comput,2021,10.1162/neco_a_01351
45,Flexible intentions: An Active Inference theory,"Priorelli M, Stoianov IP.",Front Comput Neurosci,2023,10.3389/fncom.2023.1128694
46,Reward Maximization Through Discrete Active Inference,"Da Costa L, Sajid N, Parr T, Friston K, Smith R.",Neural Comput,2023,10.1162/neco_a_01574
47,Branching Time Active Inference: The theory and its generality,"Champion T, Da Costa L, Bowman H, Grześ M.",Neural Netw,2022,10.1016/j.neunet.2022.03.036
48,The Active Inference Model of Coherence Therapy,Chamberlin DE.,Front Hum Neurosci,2023,10.3389/fnhum.2022.955558
49,Active inference and agency,Friston K.,Cogn Neurosci,2014,10.1080/17588928.2014.905517
50,Active Inference and Auditory Hallucinations,"Benrimoh D, Parr T, Vincent P, Adams RA, Friston K.",Comput Psychiatr,2018,10.1162/cpsy_a_00022
51,Active listening,"Friston KJ, Sajid N, Quiroga-Martinez DR, Parr T, Price CJ, Holmes E.",Hear Res,2021,10.1016/j.heares.2020.107998
52,Robot navigation as hierarchical active inference,"Çatal O, Verbelen T, Van de Maele T, Dhoedt B, Safron A.",Neural Netw,2021,10.1016/j.neunet.2021.05.010
53,An Active Inference Account of Touch and Verbal Communication in Therapy,"Kim J, Esteves JE, Cerritelli F, Friston K.",Front Psychol,2022,10.3389/fpsyg.2022.828952
54,Impulsivity and Active Inference,"Mirza MB, Adams RA, Parr T, Friston K.",J Cogn Neurosci,2019,10.1162/jocn_a_01352
55,The Markov blanket trick: On the scope of the free energy principle and active inference,"Raja V, Valluri D, Baggs E, Chemero A, Anderson ML.",Phys Life Rev,2021,10.1016/j.plrev.2021.09.001
56,An Active Inference Model of Collective Intelligence,"Kaufmann R, Gupta P, Taylor J.",Entropy (Basel),2021,10.3390/e23070830
57,Perceptual inference,Aggelopoulos NC.,Neurosci Biobehav Rev,2015,10.1016/j.neubiorev.2015.05.001
58,Degeneracy and Redundancy in Active Inference,"Sajid N, Parr T, Hope TM, Price CJ, Friston KJ.",Cereb Cortex,2020,10.1093/cercor/bhaa148
59,Active Inference Through Energy Minimization in Multimodal Affective Human-Robot Interaction,"Horii T, Nagai Y.",Front Robot AI,2021,10.3389/frobt.2021.684401
60,"Losing Ourselves: Active Inference, Depersonalization, and Meditation","Deane G, Miller M, Wilkinson S.",Front Psychol,2020,10.3389/fpsyg.2020.539726
61,Active Inference and Cognitive Consistency,Friston KJ.,Psychol Inq,2018,10.1080/1047840X.2018.1480693
62,In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,"Kagan BJ, Kitchen AC, Tran NT, Habibollahi F, Khajehnejad M, Parker BJ, Bhat A, Rollo B, Razi A, Friston KJ.",Neuron,2022,10.1016/j.neuron.2022.09.001
63,An empirical evaluation of active inference in multi-armed bandits,"Marković D, Stojić H, Schwöbel S, Kiebel SJ.",Neural Netw,2021,10.1016/j.neunet.2021.08.018
64,Active Inference: Applicability to Different Types of Social Organization Explained through Reference to Industrial Engineering and Quality Management,Fox S.,Entropy (Basel),2021,10.3390/e23020198
65,Chance-Constrained Active Inference,"van de Laar T, Şenöz İ, Özçelikkale A, Wymeersch H.",Neural Comput,2021,10.1162/neco_a_01427
66,Synthetic Spatial Foraging With Active Inference in a Geocaching Task,"Neacsu V, Convertino L, Friston KJ.",Front Neurosci,2022,10.3389/fnins.2022.802396
67,Does active inference provide a comprehensive theory of placebo analgesia?,"Milde C, Brinskelle LS, Glombiewski JA.",Biol Psychiatry Cogn Neurosci Neuroimaging,2023,10.1016/j.bpsc.2023.08.007
68,Active Inference: A Process Theory,"Friston K, FitzGerald T, Rigoli F, Schwartenbeck P, Pezzulo G.",Neural Comput,2017,10.1162/NECO_a_00912
69,A tale of two densities: active inference is enactive inference,"Ramstead MJ, Kirchhoff MD, Friston KJ.",Adapt Behav,2020,
70,"Paradoxical lesions, plasticity and active inference","Sajid N, Parr T, Gajardo-Vidal A, Price CJ, Friston KJ.",Brain Commun,2020,10.1093/braincomms/fcaa164
71,"Active Inference, Curiosity and Insight","Friston KJ, Lin M, Frith CD, Pezzulo G, Hobson JA, Ondobaka S.",Neural Comput,2017,10.1162/neco_a_00999
72,Active Inference and Cooperative Communication: An Ecological Alternative to the Alignment View,"Tison R, Poirier P.",Front Psychol,2021,10.3389/fpsyg.2021.708780
73,Active inference under visuo-proprioceptive conflict: Simulation and empirical results,"Limanowski J, Friston K.",Sci Rep,2020,10.1038/s41598-020-61097-w
74,Active inference and the anatomy of oculomotion,"Parr T, Friston KJ.",Neuropsychologia,2018,10.1016/j.neuropsychologia.2018.01.041
75,Realizing Active Inference in Variational Message Passing: The Outcome-Blind Certainty Seeker,"Champion T, Grześ M, Bowman H.",Neural Comput,2021,10.1162/neco_a_01422
76,"Active Inference, Belief Propagation, and the Bethe Approximation","Schwöbel S, Kiebel S, Marković D.",Neural Comput,2018,10.1162/neco_a_01108
77,Learning action-oriented models through active inference,"Tschantz A, Seth AK, Buckley CL.",PLoS Comput Biol,2020,10.1371/journal.pcbi.1007805
78,Predictions not commands: active inference in the motor system,"Adams RA, Shipp S, Friston KJ.",Brain Struct Funct,2013,10.1007/s00429-012-0475-5
79,Blind Image Quality Assessment With Active Inference,"Ma J, Wu J, Li L, Dong W, Xie X, Shi G, Lin W.",IEEE Trans Image Process,2021,10.1109/TIP.2021.3064195
80,Representation Wars: Enacting an Armistice Through Active Inference,"Constant A, Clark A, Friston KJ.",Front Psychol,2021,10.3389/fpsyg.2020.598733
81,Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Synchrony,"McParlin Z, Cerritelli F, Friston KJ, Esteves JE.",Front Psychol,2022,10.3389/fpsyg.2022.783694
82,Perceptual awareness and active inference,"Parr T, Corcoran AW, Friston KJ, Hohwy J.",Neurosci Conscious,2019,10.1093/nc/niz012
83,A neural active inference model of perceptual-motor learning,"Yang Z, Diaz GJ, Fajen BR, Bailey R, Ororbia AG.",Front Comput Neurosci,2023,10.3389/fncom.2023.1099593
84,Active inference and epistemic value,"Friston K, Rigoli F, Ognibene D, Mathys C, Fitzgerald T, Pezzulo G.",Cogn Neurosci,2015,10.1080/17588928.2015.1020053
85,"Active Inference, Epistemic Value, and Uncertainty in Conceptual Disorganization in First-Episode Schizophrenia","Limongi R, Silva AM, Mackinley M, Ford SD, Palaniyappan L.",Schizophr Bull,2023,10.1093/schbul/sbac125
86,Branching time active inference: Empirical study and complexity class analysis,"Champion T, Bowman H, Grześ M.",Neural Netw,2022,10.1016/j.neunet.2022.05.010
87,"The Markov blankets of life: autonomy, active inference and the free energy principle","Kirchhoff M, Parr T, Palacios E, Friston K, Kiverstein J.",J R Soc Interface,2018,10.1098/rsif.2017.0792
88,Learning Generative State Space Models for Active Inference,"Çatal O, Wauthier S, De Boom C, Verbelen T, Dhoedt B.",Front Comput Neurosci,2020,10.3389/fncom.2020.574372
89,Recent advances in the application of predictive coding and active inference models within clinical neuroscience,"Smith R, Badcock P, Friston KJ.",Psychiatry Clin Neurosci,2021,10.1111/pcn.13138
90,Active Inference and Learning in the Cerebellum,"Friston K, Herreros I.",Neural Comput,2016,10.1162/NECO_a_00863
91,Generalised free energy and active inference,"Parr T, Friston KJ.",Biol Cybern,2019,10.1007/s00422-019-00805-w
92,Active inference and free energy,Friston K.,Behav Brain Sci,2013,10.1017/S0140525X12002142
93,Neural Dynamics under Active Inference: Plausibility and Efficiency of Information Processing,"Da Costa L, Parr T, Sengupta B, Friston K.",Entropy (Basel),2021,10.3390/e23040454
94,Osteopathic Care as (En)active Inference: A Theoretical Framework for Developing an Integrative Hypothesis in Osteopathy,"Esteves JE, Cerritelli F, Kim J, Friston KJ.",Front Psychol,2022,10.3389/fpsyg.2022.812926
95,"Uncertainty, epistemics and active inference","Parr T, Friston KJ.",J R Soc Interface,2017,10.1098/rsif.2017.0376
96,Interoceptive predictions in the brain,"Barrett LF, Simmons WK.",Nat Rev Neurosci,2015,10.1038/nrn3950
97,Neurocomputational mechanisms underlying emotional awareness: Insights afforded by deep active inference and their potential clinical relevance,"Smith R, Lane RD, Parr T, Friston KJ.",Neurosci Biobehav Rev,2019,10.1016/j.neubiorev.2019.09.002
98,From Broken Models to Treatment Selection: Active Inference as a Tool to Guide Clinical Research and Practice,"Kirchner L, Eckert AL, Berg M.",Clin Psychol Eur,2022,10.32872/cpe.9697
99,An Active Inference Approach to Dissecting Reasons for Nonadherence to Antidepressants,"Smith R, Khalsa SS, Paulus MP.",Biol Psychiatry Cogn Neurosci Neuroimaging,2021,10.1016/j.bpsc.2019.11.012
100,Expanding the Active Inference Landscape: More Intrinsic Motivations in the Perception-Action Loop,"Biehl M, Guckelsberger C, Salge C, Smith SC, Polani D.",Front Neurorobot,2018,10.3389/fnbot.2018.00045
101,"Active inference, enactivism and the hermeneutics of social cognition","Gallagher S, Allen M.",Synthese,2018,10.1007/s11229-016-1269-8
102,Planning and navigation as active inference,"Kaplan R, Friston KJ.",Biol Cybern,2018,10.1007/s00422-018-0753-2
103,Deep temporal models and active inference,"Friston KJ, Rosch R, Parr T, Price C, Bowman H.",Neurosci Biobehav Rev,2018,10.1016/j.neubiorev.2018.04.004
104,"Active inference, attention, and motor preparation","Brown H, Friston K, Bestmann S.",Front Psychol,2011,10.3389/fpsyg.2011.00218
105,The computational neurology of movement under active inference,"Parr T, Limanowski J, Rawji V, Friston K.",Brain,2021,10.1093/brain/awab085
106,"Active inference, stressors, and psychological trauma: A neuroethological model of (mal)adaptive explore-exploit dynamics in ecological context","Linson A, Parr T, Friston KJ.",Behav Brain Res,2020,10.1016/j.bbr.2019.112421
107,A step-by-step tutorial on active inference and its application to empirical data,"Smith R, Friston KJ, Whyte CJ.",J Math Psychol,2022,10.1016/j.jmp.2021.102632
108,"Active inference as a unifying, generic and adaptive framework for a P300-based BCI","Mladenovic J, Frey J, Joffily M, Maby E, Lotte F, Mattout J.",J Neural Eng,2020,10.1088/1741-2552/ab5d5c
109,Accessing Active Inference Theory through Its Implicit and Deliberative Practice in Human Organizations,Fox S.,Entropy (Basel),2021,10.3390/e23111521
110,Therapeutic Alliance as Active Inference: The Role of Therapeutic Touch and Biobehavioural Synchrony in Musculoskeletal Care,"McParlin Z, Cerritelli F, Rossettini G, Friston KJ, Esteves JE.",Front Behav Neurosci,2022,10.3389/fnbeh.2022.897247
111,An Active Inference Approach to Modeling Structure Learning: Concept Learning as an Example Case,"Smith R, Schwartenbeck P, Parr T, Friston KJ.",Front Comput Neurosci,2020,10.3389/fncom.2020.00041
112,Active Inference in OpenAI Gym: A Paradigm for Computational Investigations Into Psychiatric Illness,"Cullen M, Davey B, Friston KJ, Moran RJ.",Biol Psychiatry Cogn Neurosci Neuroimaging,2018,10.1016/j.bpsc.2018.06.010
113,An active inference model of conscious access: How cognitive action selection reconciles the results of report and no-report paradigms,"Whyte CJ, Hohwy J, Smith R.",Curr Res Neurobiol,2022,10.1016/j.crneur.2022.100036
114,The Acquisition of Culturally Patterned Attention Styles Under Active Inference,"Constant A, Tschantz ADD, Millidge B, Criado-Boado F, Martinez LM, Müeller J, Clark A.",Front Neurorobot,2021,10.3389/fnbot.2021.729665
115,Hallucinations both in and out of context: An active inference account,"Benrimoh D, Parr T, Adams RA, Friston K.",PLoS One,2019,10.1371/journal.pone.0212379
116,"Scene Construction, Visual Foraging, and Active Inference","Mirza MB, Adams RA, Mathys CD, Friston KJ.",Front Comput Neurosci,2016,10.3389/fncom.2016.00056
117,Active inference and agency: optimal control without cost functions,"Friston K, Samothrakis S, Montague R.",Biol Cybern,2012,10.1007/s00422-012-0512-8
118,Structure learning enhances concept formation in synthetic Active Inference agents,"Neacsu V, Mirza MB, Adams RA, Friston KJ.",PLoS One,2022,10.1371/journal.pone.0277199
119,Active inference and robot control: a case study,"Pio-Lopez L, Nizard A, Friston K, Pezzulo G.",J R Soc Interface,2016,10.1098/rsif.2016.0616
120,Resilience as the Ability to Maintain Well-Being: An Allostatic Active Inference Model,"Waugh CE, Sali AW.",J Intell,2023,10.3390/jintelligence11080158
121,The statistical mechanics of felt uncertainty under active inference,Solms M.,Behav Brain Sci,2023,10.1017/S0140525X22002783
122,A World Unto Itself: Human Communication as Active Inference,"Vasil J, Badcock PB, Constant A, Friston K, Ramstead MJD.",Front Psychol,2020,10.3389/fpsyg.2020.00417
123,An examination of active inference in autistic adults using immersive virtual reality,"Arthur T, Harris D, Buckingham G, Brosnan M, Wilson M, Williams G, Vine S.",Sci Rep,2021,10.1038/s41598-021-99864-y
124,"Active Inference, epistemic value, and vicarious trial and error","Pezzulo G, Cartoni E, Rigoli F, Pio-Lopez L, Friston K.",Learn Mem,2016,10.1101/lm.041780.116
125,Active inference and cognitive-emotional interactions in the brain,"Pezzulo G, Barca L, Friston KJ.",Behav Brain Sci,2015,10.1017/S0140525X14001009
126,Model Reduction Through Progressive Latent Space Pruning in Deep Active Inference,"Wauthier ST, De Boom C, Çatal O, Verbelen T, Dhoedt B.",Front Neurorobot,2022,10.3389/fnbot.2022.795846
127,In sync with the heart,Herman AM.,Elife,2022,10.7554/eLife.84298
128,Trust as Extended Control: Human-Machine Interactions as Active Inference,"Schoeller F, Miller M, Salomon R, Friston KJ.",Front Syst Neurosci,2021,10.3389/fnsys.2021.669810
129,"Active inference, eye movements and oculomotor delays","Perrinet LU, Adams RA, Friston KJ.",Biol Cybern,2014,10.1007/s00422-014-0620-8
130,Symmetry and complexity in object-centric deep active inference models,"Ferraro S, Van de Maele T, Verbelen T, Dhoedt B.",Interface Focus,2023,10.1098/rsfs.2022.0077
131,An active inference theory of allostasis and interoception in depression,"Barrett LF, Quigley KS, Hamilton P.",Philos Trans R Soc Lond B Biol Sci,2016,10.1098/rstb.2016.0011
132,Simulating Active Inference Processes by Message Passing,"van de Laar TW, de Vries B.",Front Robot AI,2019,10.3389/frobt.2019.00020
133,Caching mechanisms for habit formation in Active Inference,"Maisto D, Friston K, Pezzulo G.",Neurocomputing (Amst),2019,10.1016/j.neucom.2019.05.083
134,Future climates: Markov blankets and active inference in the biosphere,"Rubin S, Parr T, Da Costa L, Friston K.",J R Soc Interface,2020,10.1098/rsif.2020.0503
135,Interoceptive inference: From computational neuroscience to clinic,"Owens AP, Allen M, Ondobaka S, Friston KJ.",Neurosci Biobehav Rev,2018,10.1016/j.neubiorev.2018.04.017
136,Time-consciousness in computational phenomenology: a temporal analysis of active inference,"Bogotá JD, Djebbara Z.",Neurosci Conscious,2023,10.1093/nc/niad004
137,A Factor Graph Description of Deep Temporal Active Inference,"de Vries B, Friston KJ.",Front Comput Neurosci,2017,10.3389/fncom.2017.00095
138,The value of uncertainty: An active inference perspective,"Pezzulo G, Friston KJ.",Behav Brain Sci,2019,10.1017/S0140525X18002066
139,"Simulating homeostatic, allostatic and goal-directed forms of interoceptive control using active inference","Tschantz A, Barca L, Maisto D, Buckley CL, Seth AK, Pezzulo G.",Biol Psychol,2022,10.1016/j.biopsycho.2022.108266
140,Reinforcement learning or active inference?,"Friston KJ, Daunizeau J, Kiebel SJ.",PLoS One,2009,10.1371/journal.pone.0006421
141,"Dopamine, reward learning, and active inference","FitzGerald TH, Dolan RJ, Friston K.",Front Comput Neurosci,2015,10.3389/fncom.2015.00136
142,"Working memory, attention, and salience in active inference","Parr T, Friston KJ.",Sci Rep,2017,10.1038/s41598-017-15249-0
143,Action understanding and active inference,"Friston K, Mattout J, Kilner J.",Biol Cybern,2011,10.1007/s00422-011-0424-z
144,Active inference and oculomotor pursuit: the dynamic causal modelling of eye movements,"Adams RA, Aponte E, Marshall L, Friston KJ.",J Neurosci Methods,2015,10.1016/j.jneumeth.2015.01.003
145,An active inference and epistemic value view of metacognition,"Moulin C, Souchay C.",Cogn Neurosci,2015,10.1080/17588928.2015.1051015
146,An Active Inference view of cognitive control,Pezzulo G.,Front Psychol,2012,10.3389/fpsyg.2012.00478
147,Simulating Emotions: An Active Inference Model of Emotional State Inference and Emotion Concept Learning,"Smith R, Parr T, Friston KJ.",Front Psychol,2019,10.3389/fpsyg.2019.02844
148,The anatomy of choice: active inference and agency,"Friston K, Schwartenbeck P, Fitzgerald T, Moutoussis M, Behrens T, Dolan RJ.",Front Hum Neurosci,2013,10.3389/fnhum.2013.00598
149,Computational Neuropsychology and Bayesian Inference,"Parr T, Rees G, Friston KJ.",Front Hum Neurosci,2018,10.3389/fnhum.2018.00061
150,Deeply Felt Affect: The Emergence of Valence in Deep Active Inference,"Hesp C, Smith R, Parr T, Allen M, Friston KJ, Ramstead MJD.",Neural Comput,2021,10.1162/neco_a_01341
151,The evolution of brain architectures for predictive coding and active inference,"Pezzulo G, Parr T, Friston K.",Philos Trans R Soc Lond B Biol Sci,2022,10.1098/rstb.2020.0531
152,Action selection in early stages of psychosis: an active inference approach,"Knolle F, Sterner E, Moutoussis M, Adams RA, Griffin JD, Haarsma J, Taverne H, Goodyer IM, Fletcher PC, Murray GK; NSPN Consortium.",J Psychiatry Neurosci,2023,10.1503/jpn.220141
153,The graphical brain: Belief propagation and active inference,"Friston KJ, Parr T, de Vries B.",Netw Neurosci,2017,10.1162/NETN_a_00018
154,Everything is connected: Inference and attractors in delusions,"Adams RA, Vincent P, Benrimoh D, Friston KJ, Parr T.",Schizophr Res,2022,10.1016/j.schres.2021.07.032
155,The predictive global neuronal workspace: A formal active inference model of visual consciousness,"Whyte CJ, Smith R.",Prog Neurobiol,2021,10.1016/j.pneurobio.2020.101918
156,Gut inference: A computational modelling approach,"Smith R, Mayeli A, Taylor S, Al Zoubi O, Naegele J, Khalsa SS.",Biol Psychol,2021,10.1016/j.biopsycho.2021.108152
157,Generative Models for Active Vision,"Parr T, Sajid N, Da Costa L, Mirza MB, Friston KJ.",Front Neurorobot,2021,10.3389/fnbot.2021.651432
158,Psychomotor Predictive Processing,Fox S.,Entropy (Basel),2021,10.3390/e23070806
159,Reframing PTSD for computational psychiatry with the active inference framework,"Linson A, Friston K.",Cogn Neuropsychiatry,2019,10.1080/13546805.2019.1665994
160,Who tailors the blanket?,"Suzuki K, Miyahara K, Miyazono K.",Behav Brain Sci,2022,10.1017/S0140525X22000206
161,Keep your interoceptive streams under control: An active inference perspective on anorexia nervosa,"Barca L, Pezzulo G.",Cogn Affect Behav Neurosci,2020,10.3758/s13415-020-00777-6
162,All Thinking is 'Wishful' Thinking,"Kruglanski AW, Jasko K, Friston K.",Trends Cogn Sci,2020,10.1016/j.tics.2020.03.004
163,A Hybrid Human-Neurorobotics Approach to Primary Intersubjectivity via Active Inference,"Chame HF, Ahmadi A, Tani J.",Front Psychol,2020,10.3389/fpsyg.2020.584869
164,"""Through others we become ourselves"": The dialectics of predictive coding and active inference","Bolis D, Schilbach L.",Behav Brain Sci,2020,10.1017/S0140525X19002917
165,Intrinsic and extrinsic motivators of attachment under active inference,"Cittern D, Nolte T, Friston K, Edalat A.",PLoS One,2018,10.1371/journal.pone.0193955
166,Insight and the selection of ideas,"Laukkonen RE, Webb M, Salvi C, Tangen JM, Slagter HA, Schooler JW.",Neurosci Biobehav Rev,2023,10.1016/j.neubiorev.2023.105363
167,The Anatomy of Inference: Generative Models and Brain Structure,"Parr T, Friston KJ.",Front Comput Neurosci,2018,10.3389/fncom.2018.00090
168,"Acute exercise as active inference in chronic musculoskeletal pain, effects on gait kinematics and muscular activity in patients and healthy participants: a study protocol for a randomised controlled laboratory trial","Westergren J, Sjöberg V, Vixner L, Nyberg RG, Moulaee Conradsson D, Monnier A, LoMartire R, Enthoven P, Äng BO.",BMJ Open,2023,10.1136/bmjopen-2022-069747
169,Neuromodulatory Control and Language Recovery in Bilingual Aphasia: An Active Inference Approach,"Sajid N, Friston KJ, Ekert JO, Price CJ, W Green D.",Behav Sci (Basel),2020,10.3390/bs10100161
170,A Bayesian Account of Generalist and Specialist Formation Under the Active Inference Framework,"Chen AG, Benrimoh D, Parr T, Friston KJ.",Front Artif Intell,2020,10.3389/frai.2020.00069
171,Pain Asymbolia as Depersonalization for Pain Experience. An Interoceptive Active Inference Account,Gerrans P.,Front Psychol,2020,10.3389/fpsyg.2020.523710
172,Role of Culture in Meaning Making: Bridging Semiotic Cultural Psychology and Active Inference,Kerusauskaite S.,Integr Psychol Behav Sci,2023,10.1007/s12124-022-09744-x
173,The Active Inference Approach to Ecological Perception: General Information Dynamics for Natural and Artificial Embodied Cognition,"Linson A, Clark A, Ramamoorthy S, Friston K.",Front Robot AI,2018,10.3389/frobt.2018.00021
174,Bidirectional interaction between visual and motor generative models using Predictive Coding and Active Inference,"Annabi L, Pitti A, Quoy M.",Neural Netw,2021,10.1016/j.neunet.2021.07.016
175,Intersubjectivity as an antidote to stress: Using dyadic active inference model of intersubjectivity to predict the efficacy of parenting interventions in reducing stress-through the lens of dependent origination in Buddhist Madhyamaka philosophy,"Ho SS, Nakamura Y, Gopang M, Swain JE.",Front Psychol,2022,10.3389/fpsyg.2022.806755
