title,authors,where_published,year,doi,remove
Prediction error determines how memories are organized in the brain: a study of Pavlovian fear extinction in rats,"Kennedy, Nicholas G. W. and Lee, Jessica C. and Killcross, Simon and Westbrook, Fred and Holmes, Nathan M.",bioRxiv,2024,10.1101/2024.01.16.575867,TRUE
Enhanced behavioural and neural sensitivity to punishments in chronic pain and fatigue,"Mancini, Flavia and Mahajan, Pranav and Guttesen, Anna {\'a} V. and Onysk, Jakub and Scholtes, Ingrid and Shenker, Nicholas and Lee, Michael and Seymour, Ben",bioRxiv,2024,10.1101/2024.04.04.588151,TRUE
A dual-receptor model of serotonergic psychedelics: therapeutic insights from simulated cortical dynamics,"Juliani, Arthur and Chelu, Veronica and Graesser, Laura and Safron, Adam",bioRxiv,2024,10.1101/2024.04.12.589282,TRUE
"Atypical Pupil-Linked Arousal Induced by Low-Risk Probabilistic Choices, and Intolerance of Uncertainty in Adults with ASD","Pultsina, Kristina I. and Stroganova, Tatiana A. and Kozunova, Galina L. and Prokofyev, Andrey O. and Miasnikova, Aleksandra S. and Rytikova, Anna M. and Chernyshev, Boris V.",bioRxiv,2024,10.1101/2024.04.11.589067,TRUE
More widespread and rigid neuronal representation of reward expectation underlies impulsive choices,"Cowan, Rhiannon L. and Davis, Tyler and Kundu, Bornali and Rahimpour, Shervin and Rolston, John D. and Smith, Elliot H.",bioRxiv,2024,10.1101/2024.04.11.588637,TRUE
Developing forebrain synapses are uniquely vulnerable to sleep loss,"Gay, Sean M. and Chartampila, Elissavet and Lord, Julia S. and Grizzard, Sawyer and Maisashvili, Tekla and Ye, Michael and Barker, Natalie K. and Mordant, Angie L. and Mills, C. Allie and Herring, Laura E. and Diering, Graham H.",bioRxiv,2024,10.1101/2023.11.06.565853,TRUE
Latent dynamics of primary sensory cortical population activity is structured by fluctuations in the local field potential,"Sederberg, Audrey and Pala, Aur{\'e}lie and Stanley, Garrett B",bioRxiv,2024,10.1101/2022.04.21.489039,TRUE
Future shapes present: autonomous goal-directed and sensory-focused mode switching in a Bayesian allostatic network model,"Idei, Hayato and Tani, Jun and Ogata, Tetsuya and Yamashita, Yuichi",bioRxiv,2024,10.1101/2024.04.03.588025,TRUE
Decoding the physics of observed actions in the human brain,"Wurm, Moritz F. and Erig{\""u}{\c c}, Doruk Yi{\u g}it",bioRxiv,2024,10.1101/2023.10.04.560860,TRUE
Frequency-specific changes in prefrontal activity associated with maladaptive belief updating in volatile environments in euthymic bipolar disorder,"Ivanova, Marina and Germanova, Ksenia and Petelin, Dmitry S. and Ragymova, Aynur and Kopytin, Grigory and Volel, Beatrice A. and Nikulin, Vadim V. and Ruiz, Maria Herrojo",bioRxiv,2024,10.1101/2024.03.26.586656,TRUE
Neural dynamics of semantic control underlying generative storytelling,"Rastelli, Clara and Greco, Antonino and Finocchiaro, Chiara and Penazzi, Gabriele and Braun, Christoph and De Pisapia, Nicola",bioRxiv,2024,10.1101/2024.03.16.584998,TRUE
Elucidation and Pharmacologic Targeting of Master Regulator Dependencies in Coexisting Diffuse Midline Glioma Subpopulations,"Fern{\'a}ndez, Ester Calvo and Tomassoni, Lorenzo and Zhang, Xu and Wang, Junqiang and Obradovic, Aleksandar and Laise, Pasquale and Griffin, Aaron T. and Vlahos, Lukas and Minns, Hanna E. and Morales, Diana V. and Simmons, Christian and Gallitto, Matthew and Wei, Hong-Jian and Martins, Timothy J. and Becker, Pamela S. and Crawford, John R. and Tzaridis, Theophilos and Wechsler-Reya, Robert J. and Garvin, James and Gartrell, Robyn D. and Szalontay, Luca and Zacharoulis, Stergios and Wu, Cheng-Chia and Zhang, Zhiguo and Califano, Andrea and Pavisic, Jovana",bioRxiv,2024,10.1101/2024.03.17.585370,TRUE
Enhanced efficiency in the bilingual brain through the inter-hemispheric cortico-cerebellar pathway in early second language acquisition,"Gracia-Tabuenca, Zeus and Barbeau, Elise B. and Kousaie, Shanna and Chen, Jen-Kai and Chai, Xiaoqian and Klein, Denise",bioRxiv,2024,10.1101/2023.11.16.567455,TRUE
Behavior can be decoded across the cortex when individual differences are considered,"Nakuci, Johan and Yeon, Jiwon and Kim, Ji-Hyun and Kim, Sung-Phil and Rahnev, Dobromir",bioRxiv,2024,10.1101/2024.03.12.584674,TRUE
Emotion arousal but not valence is strongly represented in aperiodic EEG activity stemming from thalamocortical interactions,"Borah, Ritu M and Pathak, Anagh and Banerjee, Arpan",bioRxiv,2024,10.1101/2024.03.11.584477,TRUE
The functional anatomy of nociception: effective connectivity in chronic pain and placebo responders,"Nara, Sanjeev and Baliki, Marwan N. and Friston, Karl J. and Ray, Dipanjan",bioRxiv,2024,10.1101/2024.03.10.584304,TRUE
Frequency-specific cortico-subcortical interaction in continuous speaking and listening,"Abbasi, Omid and Steingr{\""a}ber, Nadine and Chalas, Nikos and Kluger, Daniel S. and Gross, Joachim",bioRxiv,2024,10.1101/2024.03.05.583572,TRUE
Generative Adversarial Implicit Successor Representation,"Choi, Whan-Hyuk and Ha, Sukyeon and Choi, Hansol",bioRxiv,2024,10.1101/2024.03.03.581078,TRUE
Emo-FilM: A multimodal dataset for affective neuroscience using naturalistic stimuli,"Morgenroth, Elenor and Moia, Stefano and Vilaclara, Laura and Fournier, Raphael and Muszynski, Michal and Ploumitsakou, Maria and Almat{\'o}-Bellavista, Marina and Vuilleumier, Patrik and Van De Ville, Dimitri",bioRxiv,2024,10.1101/2024.02.26.582043,TRUE
Brain preparedness: The cortisol awakening response proacts dynamic organization of large-scale brain networks across emotional and executive functions,"Zeng, Yimeng and Xiong, Bingsen and Gao, Hongyao and Liu, Chao and Chen, Changming and Wu, Jianhui and Qin, Shaozheng",bioRxiv,2024,10.1101/2024.02.22.581523,TRUE
Brain{\textendash}heart dynamics during emotional processing under uncertain conditions: An index of depression risk,"Chan, Hui-Ling and Kanayama, Noriaki and Mizuochi, Ryohei and Yamawaki, Shigeto and Machizawa, Maro G.",bioRxiv,2024,10.1101/2021.12.06.471520,TRUE
Communication with Surprise {\textendash} Computational and Neural Mechanisms for Non-Verbal Human Interactions,"Buidze, Tatia and Sommer, Tobias and Zhao, Ke and Fu, Xiaolan and Gl{\""a}scher, Jan",bioRxiv,2024,10.1101/2024.02.20.581193,TRUE
Capturing dynamic fear experiences in naturalistic contexts: An ecologically valid fMRI signature integrating brain activation and connectivity,"Zhou, Feng and Zhang, Ran and Yao, Shuxia and Dong, Debo and Feng, Pan and Kranz, Georg and Feng, Tingyong and Becker, Benjamin",bioRxiv,2024,10.1101/2023.08.18.553808,TRUE
The Body Knows Better: Sensorimotor signals reveal {\textquotedblleft}Suboptimal{\textquotedblright} inference of the Sense of Agency in the human mind,"Applebaum, Asaf and Netzer, Ophir and Stern, Yonatan and Zvilichovsky, Yair and Mashiah, Oz and Salomon, Roy",bioRxiv,2024,10.1101/2024.02.14.579431,TRUE
Learning to segment self-generated from externally caused optic flow through sensorimotor mismatch circuits,"Brucklacher, Matthias and Pezzulo, Giovanni and Mannella, Francesco and Galati, Gaspare and Pennartz, Cyriel M. A.",bioRxiv,2024,10.1101/2023.11.15.567170,TRUE
Multiple brain activation patterns for the same task,"Nakuci, Johan and Yeon, Jiwon and Haddara, Nadia and Kim, Ji-Hyun and Kim, Sung-Phil and Rahnev, Dobromir",bioRxiv,2024,10.1101/2023.04.08.536107,TRUE
Beyond over- or under-sampling: autistic children{\textquoteright}s inflexibility in sampling costly information,"Lu, Haoyang and Zhang, Hang and Yi, Li",bioRxiv,2024,10.1101/2024.02.04.578786,TRUE
A spinal cord injury time and severity consensus transcriptomic reference suite in rat reveals translationally-relevant biomarker genes,"Grillo-Risco, Rub{\'e}n and Hidalgo, Marta R. and Rojas, Beatriz Mart{\'\i}nez and Moreno-Manzano, Victoria and Garc{\'\i}a-Garc{\'\i}a, Francisco",bioRxiv,2024,10.1101/2024.01.30.578030,TRUE
SignalingProfiler 2.0: a network-based approach to bridge multi-omics data to phenotypic hallmarks,"Venafra, Veronica and Sacco, Francesca and Perfetto, Livia",bioRxiv,2024,10.1101/2024.01.25.577229,TRUE
Neural predictors of subjective fear depend on the situation,"Wang, Yiyu and Kragel, Philip A. and Satpute, Ajay B.",bioRxiv,2024,10.1101/2022.10.20.513114,TRUE
Dissociable neural signals for reward and emotion prediction errors,"Heffner, Joseph and Fr{\""o}mer, Romy and Nassar, Matthew R. and FeldmanHall, Oriel",bioRxiv,2024,10.1101/2024.01.24.577042,TRUE
Experienced meditators show greater forward travelling cortical alpha wave strengths,"Bailey, Neil W and Hill, Aron T and Godfrey, Kate and Perera, Magelage P.N. and Hohwy, Jakob and Corcoran, Andrew W and Rogasch, Nigel C and Fitzgibbon, Bernadette M. and Fitzgerald, Paul B",bioRxiv,2024,10.1101/2024.06.09.598110,TRUE
Rotten to the core {\textendash} a neurofunctional signature of subjective core disgust generalizes to oral distaste and socio-moral contexts,"Gan, Xianyang and Zhou, Feng and Xu, Ting and Liu, Xiaobo and Zhang, Ran and Zheng, Zihao and Yang, Xi and Zhou, Xinqi and Yu, Fangwen and Li, Jialin and Cui, Ruifang and Wang, Lan and Yuan, Jiajin and Yao, Dezhong and Becker, Benjamin",bioRxiv,2024,10.1101/2023.05.18.541259,TRUE
Sex-specific mechanisms underlie long-term potentiation at hippocampus-nucleus accumbens synapses,"Copenhaver, Ashley E. and LeGates, Tara A.",bioRxiv,2024,10.1101/2024.01.15.575709,TRUE
"APNet, an explainable sparse deep learning model to discover differentially active drivers of severe COVID-19","Gavriilidis, George I. and Vasileiou, Vasileios and Dimitsaki, Stella and Karakatsoulis, George and Giannakakis, Antonis and Pavlopoulos, Georgios A. and Psomopoulos, Fotis",bioRxiv,2024,10.1101/2024.01.11.575161,TRUE
A stochastic world model on gravity for stability inference,"Huang, Taicheng and Liu, Jia",bioRxiv,2024,10.1101/2022.12.30.522364,TRUE
Sound-seeking before and after hearing loss in mice,"Mai, Jessica and Gargiullo, Rowan and Zheng, Megan and Esho, Valentina and Hussein, Osama E and Pollay, Eliana and Bowe, Cedric and Williamson, Lucas M and McElroy, Abigail F and Goolsby, William N and Brooks, Kaitlyn A and Rodgers, Chris C",bioRxiv,2024,10.1101/2024.01.08.574475,TRUE
Linking brain-heart interactions to emotional arousal in immersive virtual reality,"Fourcade, A. and Klotzsche, F. and Hofmann, S. M. and Mariola, A. and Nikulin, V. V. and Villringer, A. and Gaebler, M.",bioRxiv,2024,10.1101/2024.01.04.574165,TRUE
Neural Interoceptive Processing is Modulated by Deep Brain Stimulation for Treatment Resistant Depression,"Xu, Elisa and Pitts, Samantha and Dahill-Fuchel, Jacob and Scherrer, Sara and Nauvel, Tanya and Overton, Jacqueline Guerra and Riva-Posse, Patricio and Crowell, Andrea and Figee, Martijn and Alagapan, Sankaraleengam and Rozell, Christopher and Choi, Ki Sueng and Mayberg, Helen S. and Waters, Allison C.",bioRxiv,2023,10.1101/2023.12.15.571885,TRUE
Locus Coeruleus Norepinephrine Neurons Facilitate Orbitofrontal Cortex Remapping and Behavioral Flexibility,"Ogg, M. Cameron and Franks, Hunter T. and Lansdell, Benjamin J. and Hughes, Alex C. and Lee, Jimin and Nolen, Hunter G. and Shirinifard, Abbas and Schwarz, Lindsay A.",bioRxiv,2023,10.1101/2023.12.15.571858,TRUE
Towards fNIRS Hyperfeedback: A Feasibility Study on Real-Time Interbrain Synchrony,"Kostorz, Kathrin and Nguyen, Trinh and Pan, Yafeng and Melinscak, Filip and Steyrl, David and Hu, Yi and Sorger, Bettina and Hoehl, Stefanie and Scharnowski, Frank",bioRxiv,2023,10.1101/2023.12.11.570765,TRUE
Concurrent encoding of sequence predictability and event-evoked prediction error in unfolding auditory patterns,"Hu, Mingyue and Bianco, Roberta and Rodriguez Hidalgo, Antonio and Chait, Maria",bioRxiv,2023,10.1101/2023.10.06.561171,TRUE
Continuous estimation of reaching space in superficial layers of the motor cortex,"Gali{\~n}anes, Gregorio Luis and Huber, Daniel",bioRxiv,2023,10.1101/2023.12.01.569527,TRUE
Double dissociation of visuomotor interaction mediated by visual feedback during continuous de novo motor learning,"Kim, Junghyun and Park, Sungbeen and Yoo, Kwangsun and Kim, Sungshin",bioRxiv,2023,10.1101/2023.11.20.567820,TRUE
Individual alpha frequency modulates prediction error-driven memory encoding,"Jano, Sophie and Chatburn, Alex and Cross, Zachariah and Schlesewsky, Matthias and Bornkessel-Schlesewsky, Ina",bioRxiv,2023,10.1101/2023.10.25.564081,TRUE
PTMNavigator: Interactive Visualization of Differentially Regulated Post-Translational Modifications in Cellular Signaling Pathways,"M{\""u}ller, Julian and Bayer, Florian P. and Wilhelm, Mathias and Kuster, Bernhard and The, Matthew",bioRxiv,2023,10.1101/2023.08.31.555601,TRUE
Trans-omic analysis reveals opposite metabolic dysregulation between feeding and fasting in liver associated with obesity,"Bai, Yunfan and Morita, Keigo and Kokaji, Toshiya and Hatano, Atsushi and Ohno, Satoshi and Egami, Riku and Pan, Yifei and Li, Dongzi and Yugi, Katsuyuki and Uematsu, Saori and Inoue, Hiroshi and Inaba, Yuka and Suzuki, Yutaka and Matsumoto, Masaki and Takahashi, Masatomo and Yoshihiro, Izumi and Bamba, Takeshi and Hirayama, Akiyoshi and Soga, Tomoyoshi and Kuroda, Shinya",bioRxiv,2023,10.1101/2023.11.15.567316,TRUE
Humans adaptively select different computational strategies in different learning environments,"Verbeke, Pieter and Verguts, Tom",bioRxiv,2023,10.1101/2023.01.27.525944,TRUE
The laminar pattern of proprioceptive activation in human primary motor cortex,"Knudsen, Lasse and Guo, Fanhua and Huang, Jiepin and Blicher, Jakob U. and Lund, Torben E. and Zhou, Yan and Zhang, Peng and Yang, Yan",bioRxiv,2023,10.1101/2023.10.29.564658,TRUE
The mindful brain at rest: neural oscillations and aperiodic activity in experienced meditators,"McQueen, Brittany and Murphy, Oscar W and Fitzgerald, Paul B and Bailey, Neil W.",bioRxiv,2023,10.1101/2023.10.29.564588,TRUE
Subcortical Auditory Model including Efferent Dynamic Gain Control with Inputs from Cochlear Nucleus and Inferior Colliculus,"Farhadi, Afagh and Jennings, Skyler G. and Strickland, Elizabeth A. and Carney, Laurel H.",bioRxiv,2023,10.1101/2022.10.25.513794,TRUE
Dissecting muscle synergies in the task space,"Reilly, David {\'O}{\textquoteright} and Delis, Ioannis",bioRxiv,2023,10.1101/2023.03.17.533096,TRUE
A Normative Framework Dissociates Need and Motivation in Hypothalamic Neurons,"Kim, Kyu Sik and Lee, Young Hee and Kim, Yu-Been and Yun, Jong Won and Song, Ha Young and Park, Joon Seok and Jung, Sang-Ho and Sohn, Jong-Woo and Kim, Ki Woo and Kim, HyungGoo R. and Choi, Hyung Jin",bioRxiv,2023,10.1101/2023.10.01.560411,TRUE
Representations of information value in mouse orbitofrontal cortex during information seeking,"Bussell, Jennifer J. and Badman, Ryan P. and M{\'a}rton, Christian D. and Bromberg-Martin, Ethan S. and Abbott, L.F. and Rajan, Kanaka and Axel, Richard",bioRxiv,2023,10.1101/2023.10.13.562291,TRUE
Wireless electrocochleography in awake chinchillas: a model to study multimodal modulations at the peripheral level,"P{\'e}rez-Valenzuela, Catherine and Vicencio-Jim{\'e}nez, Sergio and Memmel, Mia and Delano, Paul H. and Elgueda, Diego",bioRxiv,2023,10.1101/2023.10.04.560827,TRUE
"Placebo treatment affects brain systems related to affective and cognitive processes, but not nociceptive pain","Botvinik-Nezer, Rotem and Petre, Bogdan and Ceko, Marta and Lindquist, Martin A. and Friedman, Naomi P. and Wager, Tor D.",bioRxiv,2023,10.1101/2023.09.21.558825,TRUE
"The interplay of uncertainty, relevance and learning influences auditory categorization","Sheth, Janaki and Collina, Jared S. and Piasini, Eugenio and Kording, Konrad P. and Cohen, Yale E. and Geffen, Maria N.",bioRxiv,2023,10.1101/2022.12.01.518777,TRUE
Simultaneous estimation of gene regulatory network structure and RNA kinetics from single cell gene expression,"Jackson, Christopher A and Beheler-Amass, Maggie and Tj{\""a}rnberg, Andreas and Suresh, Ina and Hickey, Angela Shang-mei and Bonneau, Richard and Gresham, David",bioRxiv,2023,10.1101/2023.09.21.558277,TRUE
A neural signature for the subjective experience of threat anticipation under uncertainty,"Liu, Xiqin and Jiao, Guojuan and Zhou, Feng and Kendrick, Keith M and Yao, Dezhong and Xiang, Shitong and Jia, Tianye and Zhang, Xiaoyong and Zhang, Jie and Feng, Jianfeng and Becker, Benjamin",bioRxiv,2023,10.1101/2023.09.20.558716,TRUE
Dopamine encoding of novelty facilitates efficient uncertainty-driven exploration,"Wang, Yuhao and Lak, Armin and Manohar, Sanjay G. and Bogacz, Rafal",bioRxiv,2023,10.1101/2023.09.17.558180,TRUE
Adaptive biasing of action-selective cortical build-up activity by stimulus history,"Braun, A. and Donner, T.H.",bioRxiv,2023,10.1101/2022.11.21.516403,TRUE
Human hippocampal ripples tune cortical responses in uncertain visual contexts,"Frank, Darya and Moratti, Stephan and Sarnthein, Johannes and Li, Ningfei and Horn, Andreas and Imbach, Lukas and Stieglitz, Lennart and Gil-Nagel, Antonio and Toledano, Rafael and Friston, Karl J. and Strange, Bryan A.",bioRxiv,2023,10.1101/2023.08.30.555474,TRUE
Individual differences in wellbeing are supported by separable sets of co-active self- and visual-attention-related brain networks,"Ma, Yumeng and Skipper, Jeremy I",bioRxiv,2023,10.1101/2023.08.29.552993,TRUE
Exploring Cognitive Individuality and Underlying Creativity in Statistical Learning,"Daikoku, Tatsuya and Kamermans, Kevin and Minatoya, Maiko",bioRxiv,2023,10.1101/2023.07.29.551091,TRUE
Heroes and villains: opposing narrative roles engage neural synchronization in the lateral inferior frontal gyrus,"Ryu, Hayoung and Kim, M. Justin",bioRxiv,2023,10.1101/2023.08.24.554721,TRUE
Making Proteomics Accessible: RokaiXplorer for interactive analysis of phospho-proteomic data,"Y{\i}lmaz, Serhan and Lopes, Filipa Blasco Tavares Pereira and Schlatzer, Daniela and Ayati, Marzieh and Chance, Mark R. and Koyut{\""u}rk, Mehmet",bioRxiv,2023,10.1101/2023.08.22.553639,TRUE
Exploring Temporal and Sex-Linked Dysregulation in Alzheimer{\textquoteright}s Disease Phospho-Proteome,"Y{\i}lmaz, Serhan and Lopes, Filipa Blasco Tavares Pereira and Schlatzer, Daniela and Wang, Rihua and Qi, Xin and Koyut{\""u}rk, Mehmet and Chance, Mark R.",bioRxiv,2023,10.1101/2023.08.15.553056,TRUE
Integration of Thermal Proteome Profiling with phosphoproteomic and transcriptomic data via mechanistic network models decodes the molecular response to PARP inhibition,"Burtscher, Mira L and Gade, Stephan and Garrido-Rodriguez, Martin and Rutkowska, Ania and Werner, Thilo and Eberl, H Christian and Petretich, Massimo and Knopf, Natascha and Zirngibl, Katharina and Grandi, Paola and Bergamini, Giovanna and Bantscheff, Marcus and F{\""a}lth-Savitski, Maria and Saez-Rodriguez, Julio",bioRxiv,2023,10.1101/2023.08.15.553354,TRUE
"The interplay between focus of attention, respiratory phases, and the Heartbeat Evoked Potential","Zaccaro, Andrea and della Penna, Francesca and Mussini, Elena and Parrotta, Eleonora and Perrucci, Mauro Gianni and Costantini, Marcello and Ferri, Francesca",bioRxiv,2023,10.1101/2023.08.13.553126,TRUE
The neurocognitive role of working memory load when Pavlovian motivational control affects instrumental learning,"Park, Heesun and Doh, Hoyoung and Lee, Eunhwi and Park, Harhim and Ahn, Woo-Young",bioRxiv,2023,10.1101/2022.08.01.502269,TRUE
